Timestamp,sitio,horizonte,prof_s,prof_i,color_h,color_v,color_ch,HCl_reaccion,moteados_pres,moteados_abund,moteados_tam,moteados_cont,concentr_pres,concentr_tipo,concentr_cont,concentr_abund,moteados_tam,raices,,estructura,humedad,num_lab,observaciones_h,ch_mo,p_sufijos,num_lab_r
11/04/2014 09:21,udic1-52,A1,0,21,10YR,2,2,no,no,,,,no,,,,,1,,granular,fresco,64742,,,,
11/04/2014 09:30,udic1-52,A2,21,31,10YR,2,1,no,no,,,,no,,,,,1,,granular,fresco,64742,,,,
11/04/2014 09:32,udic1-52,BAt,31,47,10YR,2,2,no,no,,,,no,,,,,no,,bloques,humedo,,,,,
11/04/2014 09:38,udic1-52,Bt1,47,57,7.5YR,3,2,no,si,comunes,finos,precisos,si,concreciones,precisos,escasos,finos,no,,bloques,humedo,64430,,,,
11/04/2014 09:42,udic1-52,Bt2,57,108,7.5YR,3,4,no,si,abundantes,medios,sobresalientes,si,concreciones,precisos,comunes,finos,no,,bloques,humedo,64430,,,,
11/04/2014 09:48,udic1-52,BC,108,140,7.5YR,4,4,no,si,comunes,medios,precisos,si,concreciones,sobresalientes,comunes,finos,no,,bloques,mojado,,,,,
11/04/2014 09:49,udic1-52,C,140,170,7.5YR,4,4,no,no,,,,no,,,,,no,,bloques,mojado,64960,,,,
11/04/2014 10:36,6udic1,A1,0,20,10YR,2,2,no,no,,,,no,,,,,1,,granular,humedo,64351,,,,64535
11/04/2014 10:38,6udic1,A2,20,31,10YR,2,1,no,no,,,,no,,,,,no,,granular,humedo,64351,,,,64535
11/04/2014 10:40,6udic1,BAt,31,50,10YR,3,3,no,si,abundantes,finos,precisos,no,,,,,no,,bloques,humedo,,,,,
11/04/2014 10:42,6udic1,Bt1,50,68,7.5YR,3,2,no,si,comunes,finos,debiles,si,concreciones,precisos,escasos,finos,no,,bloques,humedo,64568,,,,64381
11/04/2014 10:45,6udic1,Bt2,68,98,7.5YR,4,4,no,si,comunes,finos,debiles,si,concreciones,precisos,escasos,finos,no,,bloques,humedo,64568,,,,64381
11/04/2014 10:58,6udic1,Bt3,98,112,7.5YR,3,2,no,si,comunes,finos,debiles,si,concreciones,precisos,escasos,finos,no,,bloques,humedo,64568,,,,64381
11/04/2014 11:00,6udic1,BC,112,122,10YR,4,3,no,si,abundantes,finos,precisos,si,concreciones,sobresalientes,abundantes,medios,no,,bloques,humedo,,,,,
11/04/2014 11:01,6udic1,C,122,160,7.5YR,4,3,no,si,comunes,medios,precisos,si,concreciones,precisos,escasos,medios,no,,masiva,mojado,64773,,,,64974
11/04/2014 11:06,udic1-57,A,0,20,10YR,2,2,no,no,,,,no,,,,,1,,granular,fresco,64838,,,,
