"","id.p","id.p.h","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf","p_permeabilidad","p_escurrimiento","p_anegamiento","p_drenaje","dren","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","env","lstm","lstsd","evim","evisd","M1.B2","M1.B3","M1.B4","M1.B5","M1.B7","M2.B2","M2.B3","M2.B4","M2.B5","M2.B7","M3.B2","M3.B3","M3.B4","M3.B5","M3.B7","M.all.B2","M.all.B3","M.all.B4","M.all.B5","M.all.B7","S1.B2","S1.B3","S1.B4","S1.B5","S1.B7","S2.B2","S2.B3","S2.B4","S2.B5","S2.B7","S3.B2","S3.B3","S3.B4","S3.B5","S3.B7","S.all.B2","S.all.B3","S.all.B4","S.all.B5","S.all.B7","X","Y","XX1","XX2","XX3","XD1","XD2","XD3"
"1",3,"3_A1","A",12,25,13,16.2,18.4,6.9,5.7,5198,1.8,17.4,13.3,39.3,"2","2","clase 3",NA,"2.2",71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,2,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,0.383085074626866,0.0322141791044776,0.0734298507462687,0.371855223880597,0.121838805970149,0.230821088435374,0.0429421768707483,0.0757176870748299,0.285689726027397,0.152440136054422,0.271047692307692,0.0464984496124031,0.0832146153846154,0.31823023255814,0.190016153846154,0.289750439882698,0.0413092511013216,0.0786709677419355,0.324688088235294,0.157897947214076,0.0553555636063336,0.00907700683488023,0.0114943400903616,0.0315415552778869,0.032713943384995,0.02748766655258,0.00673025193578869,0.00998030732691951,0.0270918227374012,0.0252156171978061,0.0375776286229965,0.0106362586268631,0.0108396209174431,0.0264993856197978,0.0524815018040076,0.0700886242512943,0.0102182544064432,0.0118781481744739,0.0443858960323,0.0447403118271186,5431759.47799844,6186651.57801913,5693.68333333333,2723.21111111111,3346.24,1111.84587556424,529.517752719743,1104.43323747841
"2",3,"3_Ap","A",0,12,12,17,20.8,6.4,5.5,3751,2.8,17.2,13.6,40.7,"2","2","clase 3",NA,"2.2",71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,2,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,0.383085074626866,0.0322141791044776,0.0734298507462687,0.371855223880597,0.121838805970149,0.230821088435374,0.0429421768707483,0.0757176870748299,0.285689726027397,0.152440136054422,0.271047692307692,0.0464984496124031,0.0832146153846154,0.31823023255814,0.190016153846154,0.289750439882698,0.0413092511013216,0.0786709677419355,0.324688088235294,0.157897947214076,0.0553555636063336,0.00907700683488023,0.0114943400903616,0.0315415552778869,0.032713943384995,0.02748766655258,0.00673025193578869,0.00998030732691951,0.0270918227374012,0.0252156171978061,0.0375776286229965,0.0106362586268631,0.0108396209174431,0.0264993856197978,0.0524815018040076,0.0700886242512943,0.0102182544064432,0.0118781481744739,0.0443858960323,0.0447403118271186,5431759.47799844,6186651.57801913,5693.68333333333,2723.21111111111,3346.24,1111.84587556424,529.517752719743,1104.43323747841
"3",3,"3_B2t","B",35,65,30,16.8,18.3,7.5,5.9,2286,0.45,30.2,7.5,37.5,"2","2","clase 3",NA,"2.2",71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,2,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,0.383085074626866,0.0322141791044776,0.0734298507462687,0.371855223880597,0.121838805970149,0.230821088435374,0.0429421768707483,0.0757176870748299,0.285689726027397,0.152440136054422,0.271047692307692,0.0464984496124031,0.0832146153846154,0.31823023255814,0.190016153846154,0.289750439882698,0.0413092511013216,0.0786709677419355,0.324688088235294,0.157897947214076,0.0553555636063336,0.00907700683488023,0.0114943400903616,0.0315415552778869,0.032713943384995,0.02748766655258,0.00673025193578869,0.00998030732691951,0.0270918227374012,0.0252156171978061,0.0375776286229965,0.0106362586268631,0.0108396209174431,0.0264993856197978,0.0524815018040076,0.0700886242512943,0.0102182544064432,0.0118781481744739,0.0443858960323,0.0447403118271186,5431759.47799844,6186651.57801913,5693.68333333333,2723.21111111111,3346.24,1111.84587556424,529.517752719743,1104.43323747841
"4",3,"3_B31","BC",65,100,35,NA,15.1,9.1,7.5,1039,0.23,17.8,10,42.5,"2","2","clase 3",NA,"2.2",71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,2,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,0.383085074626866,0.0322141791044776,0.0734298507462687,0.371855223880597,0.121838805970149,0.230821088435374,0.0429421768707483,0.0757176870748299,0.285689726027397,0.152440136054422,0.271047692307692,0.0464984496124031,0.0832146153846154,0.31823023255814,0.190016153846154,0.289750439882698,0.0413092511013216,0.0786709677419355,0.324688088235294,0.157897947214076,0.0553555636063336,0.00907700683488023,0.0114943400903616,0.0315415552778869,0.032713943384995,0.02748766655258,0.00673025193578869,0.00998030732691951,0.0270918227374012,0.0252156171978061,0.0375776286229965,0.0106362586268631,0.0108396209174431,0.0264993856197978,0.0524815018040076,0.0700886242512943,0.0102182544064432,0.0118781481744739,0.0443858960323,0.0447403118271186,5431759.47799844,6186651.57801913,5693.68333333333,2723.21111111111,3346.24,1111.84587556424,529.517752719743,1104.43323747841
"5",3,"3_B32","BC",100,130,30,NA,13.4,9.5,7.8,1143,0.05,15.8,7.1,46.2,"2","2","clase 3",NA,"2.2",71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,2,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,0.383085074626866,0.0322141791044776,0.0734298507462687,0.371855223880597,0.121838805970149,0.230821088435374,0.0429421768707483,0.0757176870748299,0.285689726027397,0.152440136054422,0.271047692307692,0.0464984496124031,0.0832146153846154,0.31823023255814,0.190016153846154,0.289750439882698,0.0413092511013216,0.0786709677419355,0.324688088235294,0.157897947214076,0.0553555636063336,0.00907700683488023,0.0114943400903616,0.0315415552778869,0.032713943384995,0.02748766655258,0.00673025193578869,0.00998030732691951,0.0270918227374012,0.0252156171978061,0.0375776286229965,0.0106362586268631,0.0108396209174431,0.0264993856197978,0.0524815018040076,0.0700886242512943,0.0102182544064432,0.0118781481744739,0.0443858960323,0.0447403118271186,5431759.47799844,6186651.57801913,5693.68333333333,2723.21111111111,3346.24,1111.84587556424,529.517752719743,1104.43323747841
"6",3,"3_C","C",130,150,20,NA,13.4,9.3,7.5,1593,0.02,12.9,7.9,47.4,"2","2","clase 3",NA,"2.2",71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,2,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,0.383085074626866,0.0322141791044776,0.0734298507462687,0.371855223880597,0.121838805970149,0.230821088435374,0.0429421768707483,0.0757176870748299,0.285689726027397,0.152440136054422,0.271047692307692,0.0464984496124031,0.0832146153846154,0.31823023255814,0.190016153846154,0.289750439882698,0.0413092511013216,0.0786709677419355,0.324688088235294,0.157897947214076,0.0553555636063336,0.00907700683488023,0.0114943400903616,0.0315415552778869,0.032713943384995,0.02748766655258,0.00673025193578869,0.00998030732691951,0.0270918227374012,0.0252156171978061,0.0375776286229965,0.0106362586268631,0.0108396209174431,0.0264993856197978,0.0524815018040076,0.0700886242512943,0.0102182544064432,0.0118781481744739,0.0443858960323,0.0447403118271186,5431759.47799844,6186651.57801913,5693.68333333333,2723.21111111111,3346.24,1111.84587556424,529.517752719743,1104.43323747841
"7",3,"3_A2","E",25,35,10,14.6,14.1,7.2,5.8,5891,0.82,14.6,12.7,45.2,"2","2","clase 3",NA,"2.2",71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,2,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,0.383085074626866,0.0322141791044776,0.0734298507462687,0.371855223880597,0.121838805970149,0.230821088435374,0.0429421768707483,0.0757176870748299,0.285689726027397,0.152440136054422,0.271047692307692,0.0464984496124031,0.0832146153846154,0.31823023255814,0.190016153846154,0.289750439882698,0.0413092511013216,0.0786709677419355,0.324688088235294,0.157897947214076,0.0553555636063336,0.00907700683488023,0.0114943400903616,0.0315415552778869,0.032713943384995,0.02748766655258,0.00673025193578869,0.00998030732691951,0.0270918227374012,0.0252156171978061,0.0375776286229965,0.0106362586268631,0.0108396209174431,0.0264993856197978,0.0524815018040076,0.0700886242512943,0.0102182544064432,0.0118781481744739,0.0443858960323,0.0447403118271186,5431759.47799844,6186651.57801913,5693.68333333333,2723.21111111111,3346.24,1111.84587556424,529.517752719743,1104.43323747841
"22",326,"326_Ap","A",0,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","clase 5",NA,"2.2",86.4337921142578,77951.09375,579.412536621094,0.148805007338524,3.93385100364685,0.0788819417357445,12.7417278289795,1.29917907714844,0,1,297.173861734668,7.66045355482176,3286.84722222222,1898.39972107332,0.434221804511278,0.0260413533834586,0.0654210526315789,0.40095037593985,0.115385714285714,0.195192517006803,0.0478244897959184,0.0782748299319728,0.268808904109589,0.187363945578231,0.261318604651163,0.0507527131782946,0.0860503875968992,0.309193798449612,0.219046511627907,0.2816825,0.0447726470588235,0.0807267647058824,0.323476435935199,0.183592647058824,0.0651272348402049,0.00825882565409757,0.010680214308311,0.0375273771258865,0.0302460920161776,0.023744158873449,0.00901597966350321,0.0111120990676855,0.0279746829416759,0.0293281620364348,0.0436852641907176,0.0128890583291567,0.0138042176754007,0.0247161281856667,0.0567249367101228,0.0970249737960931,0.0146449974989976,0.015858126189684,0.0583100967159129,0.0572249544322419,5407998.477998,6276905.97801914,6017.97738095238,2044.35555555556,3266.32,1222.78886193396,641.784095266626,1385.65460973573
"23",326,"326_A1","A",18,32,14,14.8,19.9,5.6,5.3,3673,1.55,23,24,6.6,"2","2","clase 5",NA,"2.2",86.4337921142578,77951.09375,579.412536621094,0.148805007338524,3.93385100364685,0.0788819417357445,12.7417278289795,1.29917907714844,0,1,297.173861734668,7.66045355482176,3286.84722222222,1898.39972107332,0.434221804511278,0.0260413533834586,0.0654210526315789,0.40095037593985,0.115385714285714,0.195192517006803,0.0478244897959184,0.0782748299319728,0.268808904109589,0.187363945578231,0.261318604651163,0.0507527131782946,0.0860503875968992,0.309193798449612,0.219046511627907,0.2816825,0.0447726470588235,0.0807267647058824,0.323476435935199,0.183592647058824,0.0651272348402049,0.00825882565409757,0.010680214308311,0.0375273771258865,0.0302460920161776,0.023744158873449,0.00901597966350321,0.0111120990676855,0.0279746829416759,0.0293281620364348,0.0436852641907176,0.0128890583291567,0.0138042176754007,0.0247161281856667,0.0567249367101228,0.0970249737960931,0.0146449974989976,0.015858126189684,0.0583100967159129,0.0572249544322419,5407998.477998,6276905.97801914,6017.97738095238,2044.35555555556,3266.32,1222.78886193396,641.784095266626,1385.65460973573
"24",326,"326_B21","B",40,80,40,25.8,28.1,6.7,5.3,2112,0.52,42.1,21.3,4.2,"2","2","clase 5",NA,"2.2",86.4337921142578,77951.09375,579.412536621094,0.148805007338524,3.93385100364685,0.0788819417357445,12.7417278289795,1.29917907714844,0,1,297.173861734668,7.66045355482176,3286.84722222222,1898.39972107332,0.434221804511278,0.0260413533834586,0.0654210526315789,0.40095037593985,0.115385714285714,0.195192517006803,0.0478244897959184,0.0782748299319728,0.268808904109589,0.187363945578231,0.261318604651163,0.0507527131782946,0.0860503875968992,0.309193798449612,0.219046511627907,0.2816825,0.0447726470588235,0.0807267647058824,0.323476435935199,0.183592647058824,0.0651272348402049,0.00825882565409757,0.010680214308311,0.0375273771258865,0.0302460920161776,0.023744158873449,0.00901597966350321,0.0111120990676855,0.0279746829416759,0.0293281620364348,0.0436852641907176,0.0128890583291567,0.0138042176754007,0.0247161281856667,0.0567249367101228,0.0970249737960931,0.0146449974989976,0.015858126189684,0.0583100967159129,0.0572249544322419,5407998.477998,6276905.97801914,6017.97738095238,2044.35555555556,3266.32,1222.78886193396,641.784095266626,1385.65460973573
