,id.p,id.p.h,hor,top,bottom,thick,tb,CEC,phw,phkcl,resist,OC,clay,silt20,sand.mf,p_permeabilidad,p_escurrimiento,p_anegamiento,p_drenaje,dren,dem,river,wdist,maxc,mrvbf,slope,twi,vdchn,water,lstm,lstsd,evim,evisd,ndwi.a,ndwi.b,ndwi.bsd,X,Y
1,3,3_A1,A,12,25,13,16.2,18.4,6.9,5.7,5198,1.8,17.4,13.3,39.3,2,2,clase 3,NA,2.2,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
2,3,3_Ap,A,0,12,12,17,20.8,6.4,5.5,3751,2.8,17.2,13.6,40.7,2,2,clase 3,NA,2.2,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
3,3,3_B2t,B,35,65,30,16.8,18.3,7.5,5.9,2286,0.45,30.2,7.5,37.5,2,2,clase 3,NA,2.2,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
4,3,3_B31,BC,65,100,35,NA,15.1,9.1,7.5,1039,0.23,17.8,10,42.5,2,2,clase 3,NA,2.2,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
5,3,3_B32,BC,100,130,30,NA,13.4,9.5,7.8,1143,0.05,15.8,7.1,46.2,2,2,clase 3,NA,2.2,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
6,3,3_C,C,130,150,20,NA,13.4,9.3,7.5,1593,0.02,12.9,7.9,47.4,2,2,clase 3,NA,2.2,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
7,3,3_A2,E,25,35,10,14.6,14.1,7.2,5.8,5891,0.82,14.6,12.7,45.2,2,2,clase 3,NA,2.2,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
22,326,326_Ap,A,0,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
23,326,326_A1,A,18,32,14,14.8,19.9,5.6,5.3,3673,1.55,23,24,6.6,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
24,326,326_B21,B,40,80,40,25.8,28.1,6.7,5.3,2112,0.52,42.1,21.3,4.2,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
25,326,326_B22,B,80,105,25,23.4,25.1,7.3,5.8,1883,0.27,28.6,25.8,7.4,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
26,326,326_B3,BC,105,150,45,20.8,21.7,7.9,6.4,1404,0.19,20.8,30.2,10.1,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
27,326,326_Cca,C,150,170,20,NA,21.2,8.9,7.2,1229,0.12,16.7,29.9,9.4,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
28,326,326_A2,E,32,40,8,10.6,14.3,6,5,4593,0.6,22.7,23.6,6.3,2,2,clase 5,NA,2.2,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
