"","id.p","CEC.A","CEC.B","CEC.C","OC.A","OC.B","OC.C","clay.A","clay.B","clay.C","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","ndwi.a","ndwi.b","ndwi.bsd","X","Y"
"1",3,19.552,18.3,13.4,2.28,0.45,0.02,17.304,30.2,12.9,71.7670822144,128509.015625,330.0093078613,13.5402412415,0.4329250753,0.1866208315,9.8300180435,1.5096130371,0,296.0850295574,7.6751225565,3833.9583333333,1412.3209033064,0.0209466854,-0.0833581799,0.0648572201,5431759.47799844,6186651.57801913
"2",326,19.9,26.9461538461538,21.2,1.55,0.423846153846154,0.12,23,36.9076923076923,16.7,86.4337921143,77951.09375,579.4125366211,0.1488050073,3.9338510036,0.0788819417,12.741727829,1.2991790771,0,297.1738617347,7.6604535548,3286.8472222222,1898.3997210733,0.0419993628,-0.100590338,0.079258392,5407998.477998,6276905.97801914
"3",329,16,25.8457142857143,18.7,1.56,0.500857142857143,0.1,21.5,36.8714285714286,21.8,71.3323898315,44848.6875,1489.5050048828,5.3702526093,2.2488379478,0.267844677,9.3415784836,9.6056518555,0,297.7199123489,7.9370183072,3486.5069444444,1516.6413112811,0.0461921086,-0.1440239168,0.0388498818,5450186.17800232,6280416.37802234
"4",335,19,28.1924050632911,19.5,1.61,0.50746835443038,0.07,23.3,38.2670886075949,24.1,64.1855926514,45794.97265625,1824.8801269531,-5.1389718056,1.5845872164,0.4511659145,10.0771226883,3.3206367493,0,297.4519173439,7.6521301264,3214.9861111111,1850.6467438264,0.0602001092,-0.1597900164,0.063174842,5448389.77800111,6280648.37802399
"5",337,16.3,21.5263736263736,21.7,1.62,0.571538461538462,0.07,16.4,42.6637362637363,25.3,61.5468139648,53371.875,844.8314819336,-1.8528623581,2.9248015881,0.2270814478,11.3820810318,4.6119194031,0,297.432470389,7.9578507932,3981.5694444444,1106.0295754261,-0.0087679815,-0.0529753761,0.0472703766,5435021.37799819,6283262.77802161
"6",342,23.7448275862069,29.287323943662,19.8923076923077,1.80965517241379,0.448591549295775,0.12,27.1172413793103,37.9507042253521,16.1153846153846,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
"7",347,22.1333333333333,30.8571428571429,26.8,1.8125,0.411904761904762,0.12,22.825,34.1571428571429,12,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
"8",348,23.28,31.8354430379747,20.9,1.6068,0.404303797468354,0.07,27.316,39.7443037974683,13.7,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
"9",350,21.5,27.0661016949153,19.1428571428571,1.89,0.496949152542373,0.1,23,36.6305084745763,12.9142857142857,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
"10",352,17.1,21.8764705882353,15.2,0.42,0.329411764705882,0.14,18.2,33.4352941176471,21.4,57.5623588562,54285.3515625,417.8634338379,-0.9583994746,6.405025959,0.0650293976,20.5097846985,0.2445373535,0,297.3530990868,8.0695462229,3271.3055555556,725.6028530736,-0.0752057738,-0.0799622393,0.0370079239,5433584.37800361,6283540.27801954
"11",355,17.3,30.2161290322581,15.3,1.45,0.499032258064516,0.11,22,42.6354838709677,19.2,71.6658325195,50043.578125,930.5099487305,9.6505041122,2.6630139351,0.4680849612,10.2973508835,3.1561431885,0,297.1964173618,7.7063196464,3585,1737.4894354964,0.0478425572,-0.0693606087,0.0581194189,5435553.2779968,6287591.17801589
"12",358,23.23,39.4297297297297,43.6,1.503,0.357297297297297,0.1,25.67,45.4783783783784,35.2,56.6983375549,33986.65625,1023.9917602539,3.5685830116,2.7391214371,0.3645699918,10.4351568222,5.3608055115,0,297.5368030805,8.0010510221,3263.1041666667,1650.4777596888,0.0314395743,-0.0942895267,0.051061215,5453955.08623637,6291511.16345247
"13",359,23.4,35.65,34.4,1.84,0.515,0.21,35,57.05,45,40.3265304565,14411.4326171875,123.6966552734,-2.349060297,3.7351005077,0.1730530709,12.725935936,1.7153205872,0,297.6310688427,7.8862967976,3291.0972222222,1500.429180184,0.0204525158,-0.0987142249,0.0761677973,5489604.34064186,6286514.50443699
"14",360,13.8,29.0340425531915,31.9,0.78,0.371702127659574,0.1,14.2,40.5659574468085,25.6,34.4585647583,23083.306640625,330.0093078613,-3.4877579212,3.7981922626,0.1992580295,12.8592166901,1.2714157104,0,297.5407917101,8.0380910323,2985.8888888889,549.1510435999,-0.0729387149,-0.0687932894,0.0342877714,5478728.85392764,6283195.00514949
"15",364,24.9,23.0178571428571,23,2.81,0.704285714285714,0.14,34.8,34.1678571428571,15,25.9030723572,11540.3857421875,301.5047607422,-17.1422405243,3.1223216057,0.2334418148,14.186712265,0.1829833984,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.0503159034,-0.0624169834,0.0347760498,5468624.00562296,6308567.82194649
"16",365,21.6,31.2168316831683,30.1,1.85,0.502475247524752,0.16,27.2,44.0782178217822,28.6,54.7131767273,26910.2890625,442.9571838379,5.4227561951,3.9017927647,0.1328847706,10.4551181793,2.4981231689,0,297.2977061103,7.7897826183,3603.0486111111,1815.3380787825,0.034478368,-0.1145396202,0.0697644563,5480953.33608616,6276953.32715963
"17",366,20.2,34.2,22.9,0.6,0.24,0.12,18.2,46,16.7,27.0118198395,11731.251953125,429.5467224121,-14.5131521225,1.6887898445,0.392675221,10.8901557922,1.3296852112,0,297.6967742562,7.9014324968,3581.3958333333,840.8317162711,-0.000591414,-0.073556446,0.0450381571,5468522.4942091,6308441.35519683
"18",368,18.85,26.652688172043,26.6,1.505,0.46258064516129,0.17,21.6,40.8774193548387,25.1,45.5511627197,16684.625,1138.4520263672,-0.877986908,2.8627092838,0.2043627053,11.2800016403,12.0359802246,0,297.6076542471,7.9931933555,3656.0972222222,1778.981347243,0.0485909911,-0.1040064679,0.093278016,5490500.58385317,6282197.9406154
"19",369,20.0375,32.00625,22.8666666666667,1.55625,0.495833333333333,0.147333333333333,22.8916666666667,40.28125,25.92,57.3995399475,39649.0546875,660.7000732422,-2.1507518291,1.939696312,0.3882462978,10.7214260101,6.3916549683,0,297.3881230956,7.7625779863,3789.6458333333,1950.5330971812,0.0605778946,-0.1003432166,0.0538072409,5460915.78452777,6277861.1927914
"20",370,22.2266666666667,31.1014925373134,42.2,1.61666666666667,0.635820895522388,0.06,24.5533333333333,36.9686567164179,23.6,53.5570793152,23854.748046875,488.3783874512,-1.7761002779,4.6726202965,0.0577823184,11.6513404846,0.844203949,0,297.6493238561,8.0118637421,3478.4930555556,1652.1218609134,0.0245661237,-0.1152390275,0.0681486131,5467866.10212503,6292897.17321687
"21",371,25.7875,31.8347826086957,45.7,1.9625,0.431739130434783,0.13,29.3875,44.3086956521739,30.5,54.8027229309,27573.275390625,371.0899658203,-5.0696015358,4.6166672707,0.0974638537,13.9441051483,0.5510292053,0,297.479853521,8.0153526052,3529.0069444444,1888.5629031389,0.0410328947,-0.1594405192,0.0790539906,5470967.44516528,6284903.52963102
"22",372,19.6214285714286,35.9724637681159,31.9,1.52821428571429,0.460869565217391,0.22,28.1642857142857,50.2608695652174,44.1,50.696144104,31896.205078125,536.6714477539,3.7561533451,3.6338403225,0.1892108023,11.1178998947,3.3386383057,0,297.5957643846,8.0722818506,3250.6319444444,1422.0171418445,0.0262555369,-0.1166587994,0.0612243803,5473256.21683485,6276281.93763884
"23",380,17.5,26.8219178082192,22.1,1.40130434782609,0.521506849315068,0.1,19.0130434782609,41.6465753424658,18.7,33.3416862488,4506.3227539063,593.9864501953,1.0847483873,3.40402174,0.1845930964,11.8169727325,14.1889801025,0,297.3647801911,7.7444313641,3593.5277777778,1681.7963462536,0.0519709896,-0.1353794957,0.054662206,5488205.88289835,6300342.46701125
"24",389,33.7,20.5380952380952,28.3,0.22,0.537142857142857,0.16,49.2,29.5619047619048,22.2,24.0069274902,11311.5517578125,180.005065918,-5.7032852173,3.945681572,0.0732228383,14.5683050156,1.1735992432,0,297.884306736,8.156955203,3136.5555555556,636.2066755033,-0.0820498698,-0.0821788846,0.0492168472,5482132.66203879,6296819.65854497
"25",390,17.9407407407407,28.4428571428571,24.6363636363636,1.28407407407407,0.49047619047619,0.159090909090909,25.9444444444444,40.6952380952381,17.8818181818182,31.6446475983,6677.4633789063,234.3140869141,1.258592248,4.6268544197,0.148866415,11.1083908081,3.4876461029,0,297.7215588289,7.7179784212,3504.4791666667,1457.9003484931,0.0259185267,-0.0870744234,0.056408094,5477517.78486639,6307216.46642049
"26",392,21.1741935483871,32.1046153846154,27.6,1.41387096774194,0.439384615384615,0.15,24.7645161290323,46.9138461538462,27.1,41.1088447571,14692.60546875,576.2974243164,-0.9402840734,3.8959810734,0.1419334561,12.6143312454,1.967502594,0,297.6603802839,7.9778520186,3155.2291666667,1462.8724770732,0.0253892222,-0.1099312264,0.0554230712,5473068.65845685,6300491.71316366
