"","id.p","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf"
"2","3","A",0,12,12,17,20.8,6.4,5.5,3751,2.8,17.2,13.6,40.7
"1","3","A",12,25,13,16.2,18.4,6.9,5.7,5198,1.8,17.4,13.3,39.3
"3","3","B",35,65,30,16.8,18.3,7.5,5.9,2286,0.45,30.2,7.5,37.5
"6","3","C",130,150,20,NA,13.4,9.3,7.5,1593,0.02,12.9,7.9,47.4
"8","326","A",0,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","326","A",18,32,14,14.8,19.9,5.6,5.3,3673,1.55,23,24,6.6
"10","326","B",40,80,40,25.8,28.1,6.7,5.3,2112,0.52,42.1,21.3,4.2
"11","326","B",80,105,25,23.4,25.1,7.3,5.8,1883,0.27,28.6,25.8,7.4
"13","326","C",150,170,20,NA,21.2,8.9,7.2,1229,0.12,16.7,29.9,9.4
"15","329","A",0,23,23,13.5,16,6.3,5.2,4797,1.56,21.5,30,9.4
"18","329","B",30,64,34,22.4,27.8,6.6,4.9,2472,0.65,43.3,22.8,5.2
"17","329","B",64,100,36,20.3,24,7.1,4.9,2397,0.36,30.8,29.1,6.7
"20","329","C",155,180,25,NA,18.7,8.1,7,1845,0.1,21.8,26.6,9.6
"21","335","A",0,26,26,16.2,19,6.1,5.3,2067,1.61,23.3,31,11
"23","335","B",37,86,49,24.8,28.8,7,5.2,2445,0.61,42.9,24.1,4.9
"24","335","B",86,116,30,24.4,27.2,7.4,5.5,1881,0.34,30.7,28.6,7
"26","335","C",153,170,17,NA,19.5,8.2,7,1659,0.07,24.1,30.2,8.4
"27","337","A",0,15,15,12.3,16.3,6.5,5.1,2865,1.62,16.4,38.9,8.6
"28","337","B",15,60,45,23.3,23.7,8.8,6.6,471,0.89,46,19.4,6.3
"29","337","B",60,106,46,NA,19.4,9.6,7.6,508,0.26,39.4,25.9,9
"31","337","C",180,200,20,NA,21.7,9.4,7.5,775,0.07,25.3,27.7,10.8
"32","342","A",0,20,20,17.7,23.9,6.1,5.7,5596,1.94,26.9,27.3,5.6
"33","342","A",20,29,9,17.6,23.4,5.8,5.4,4103,1.52,27.6,27.3,5
"36","342","B",39,76,37,23.6,29,6.3,5.3,2238,0.53,42.5,20.3,5.1
"35","342","B",76,110,34,24.9,29.6,6.4,5.4,2282,0.36,33,25.3,4.1
"39","342","C",170,215,45,NA,19.8,7.6,6.7,2677,0.12,16.3,26.9,10.1
"38","342","C",215,235,20,NA,20.1,8.1,7.3,3467,0.12,15.7,25.4,9.5
"41","347","A",0,14,14,15.9,22.3,5.4,5.1,1492,1.95,22.2,27.9,5.3
"40","347","A",14,24,10,15.1,21.9,5.2,4.8,2458,1.62,23.7,28,4.9
"42","347","B",32,56,24,26.9,32.9,6.2,5.4,1799,0.61,49.2,18.7,6.2
"43","347","B",56,95,39,25.6,29.6,6.9,5.9,2063,0.29,24.9,29.5,8.3
"45","347","C",180,200,20,NA,26.8,8.1,7,1891,0.12,12,35.1,3.4
"48","348","A",0,13,13,17.4,24,5.6,5.3,1760,1.77,26.5,28,4.4
"47","348","A",13,25,12,15.9,22.5,5.6,5.2,2725,1.43,28.2,27.1,5.4
"50","348","B",33,76,43,25.7,32.2,6.1,4.9,2461,0.5,43.8,24.2,3.9
"51","348","B",76,112,36,26.3,31.4,6.5,5.2,2282,0.29,34.9,25.8,3.6
"53","348","C",168,188,20,20.4,20.9,7,5.6,3446,0.07,13.7,29.5,6
"55","350","A",0,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","350","A",13,25,12,16.8,21.5,5.7,5.5,4498,1.89,23,26.5,5.8
"57","350","B",33,46,13,18.3,22.3,6,5.2,3077,0.66,34.6,21.9,6
"58","350","B",46,70,24,25.4,29.8,6.1,5.2,2388,0.58,41.7,20.6,6
"59","350","B",70,92,22,23.3,26.9,6.3,5.3,2618,0.31,32.3,21.7,7.2
"61","350","C",170,220,50,18.6,19.6,6.9,6,3537,0.1,12,27.2,10.4
"62","350","C",220,240,20,NA,18,8.2,7.1,2893,0.1,15.2,21.4,12.7
"63","352","A",0,26,26,NA,17.1,9.9,8.3,447,0.42,18.2,36.9,10.4
"64","352","B",26,56,30,NA,22,9.6,8.1,465,0.42,32.2,28.8,9.9
"65","352","B",56,77,21,NA,21.7,9.6,7.6,537,0.2,35.2,31.4,7.7
"14","352","BC",77,150,73,NA,15.2,9.4,7.1,1109,0.14,21.4,29.5,8.8
"67","355","A",0,25,25,13.4,17.3,6,5.1,NA,1.45,22,32.1,7.2
"70","355","B",33,73,40,26.5,31.6,6.8,5.3,NA,0.57,47,23.1,5.1
"69","355","B",73,95,22,24.2,27.7,7,5.3,NA,0.37,34.7,29.5,6.1
"72","355","C",160,195,35,NA,15.3,8.2,7.3,NA,0.11,19.2,30.5,10
"73","356","A",0,18,18,14.6,16.4,6.8,6.1,555,NA,17.2,31.8,8.4
"74","356","B",18,32,14,NA,20.1,9,8,209,NA,15.5,32.6,8.1
"75","356","B",32,54,22,NA,38.5,8.9,7.9,154,NA,31.4,29.4,3.7
"68","356","BC",54,74,20,NA,35.1,8.9,7.7,222,NA,28.7,28.7,5
"77","358","A",0,14,14,19,22.9,6.2,5.3,3000,1.56,24.5,34.1,6.2
"78","358","A",14,20,6,19,24,6.2,4.9,4935,1.37,28.4,33.5,5.1
"80","358","B",30,72,42,37.5,40.9,6.6,4.9,1303,0.5,49.5,26.3,4.3
"81","358","B",72,104,32,34,37.5,7.1,5.3,1339,0.17,40.2,28.7,3.8
"12","358","BC",154,200,46,NA,43.6,8.1,6.8,1265,0.1,35.2,32.4,2.6
"84","359","A",0,23,23,17.8,23.4,5.3,4.9,1744,1.84,35,28.8,4
"85","359","B",23,60,37,32.6,34.9,6.6,5.5,1744,0.66,58.3,16.2,3.1
"86","359","B",60,97,37,35,36.4,6.8,5.9,1657,0.37,55.8,18.3,3.1
"152","359","BC",97,120,23,NA,34.4,7.7,6.9,1526,0.21,45,24,2.1
"88","360","A",0,18,18,NA,13.8,9.2,7.8,895,0.78,14.2,35.7,6.1
"90","360","B",18,35,17,NA,29.8,9.5,8.1,411,0.41,36.8,23.2,4.1
"89","360","B",35,65,30,NA,28.6,9.5,8,403,0.35,42.7,21.6,3.6
"92","360","C",130,150,20,NA,31.9,8.8,7.3,895,0.1,25.6,34.2,4.3
"97","363","A",42,60,18,NA,22,8.7,7.5,1165,0.64,24.6,34.1,3.3
"98","363","A",60,84,24,NA,22,8.5,7.3,1831,0.64,27.7,33.2,3.1
"99","363","B",84,104,20,NA,24.3,8.2,7,1290,0.29,39.6,22.1,4.2
"103","364","A",0,14,14,19,24.9,5,4.7,2387,2.81,34.8,34.8,5.5
"104","364","B",14,32,18,17.5,20.1,6.1,5.3,2136,1.03,28.4,27.4,5.4
"105","364","B",32,70,38,24.4,24.4,7.8,6.6,1424,0.55,36.9,23.3,5.4
"107","364","C",130,150,20,22.1,23,7.8,6.6,2555,0.14,15,36.6,6.2
