sp,hor,model,ME,RMSE,AVE
CEC ,A,Model 0,0,3.16,0.18
CEC ,B,Model 0,-0.01,3,0.5
CEC ,C,Model 0,-0.01,5.46,0.45
CEC ,all,Model 0,0,4.3,0.53
OC ,A,Model 0,0,0.4,0.24
OC ,B,Model 0,0,0.14,0.03
OC ,C,Model 0,0,0.06,0.02
OC ,all,Model 0,0,0.25,0.91
Clay ,A,Model 0,0,4.05,0.15
Clay ,B,Model 0,-0.01,5.14,0.6
Clay ,C,Model 0,-0.01,6.87,0.41
Clay ,all,Model 0,-0.01,5.45,0.72
CEC ,A,Model 1,-1.39,5.96,-0.04
CEC ,B,Model 1,-3.11,7.21,-0.13
CEC ,C,Model 1,-3.07,7.58,-0.05
CEC ,all,Model 1,-2.52,6.95,0.02
OC ,A,Model 1,-0.27,0.72,-0.24
OC ,B,Model 1,0.12,0.34,-0.17
OC ,C,Model 1,0.06,0.19,-0.14
OC ,all,Model 1,-0.03,0.48,0.59
Clay ,A,Model 1,1.18,8.59,0.06
Clay ,B,Model 1,-3.55,10,0.12
Clay ,C,Model 1,4.86,11.18,-0.04
Clay ,all,Model 1,0.83,9.99,0.16
CEC ,A,Model 2,0.02,6.08,-0.08
CEC ,B,Model 2,0.01,6.48,0.09
CEC ,C,Model 2,0.02,7.15,0.07
CEC ,all,Model 2,0.02,6.58,0.12
OC ,A,Model 2,0,0.63,0.06
OC ,B,Model 2,0,0.33,-0.04
OC ,C,Model 2,0,0.19,-0.04
OC ,all,Model 2,0,0.43,0.67
Clay ,A,Model 2,0.01,8.99,-0.02
Clay ,B,Model 2,0.01,9.68,0.17
Clay ,C,Model 2,0.04,10.37,0.1
Clay ,all,Model 2,0.02,9.7,0.2
CEC ,A,Model 3,0.01,5.69,0.05
CEC ,B,Model 3,0,6.26,0.15
CEC ,C,Model 3,0,6.78,0.16
CEC ,all,Model 3,0,6.26,0.2
OC ,A,Model 3,0,0.63,0.07
OC ,B,Model 3,0,0.32,0.03
OC ,C,Model 3,0,0.18,0.04
OC ,all,Model 3,0,0.42,0.68
Clay ,A,Model 3,0,8.35,0.12
Clay ,B,Model 3,-0.01,9.39,0.22
Clay ,C,Model 3,0,10.08,0.15
Clay ,all,Model 3,0,9.3,0.27
CEC ,A,Model 4,0.01,5.49,0.12
CEC ,B,Model 4,0,6.21,0.17
CEC ,C,Model 4,0.01,6.63,0.2
CEC ,all,Model 4,0.01,6.13,0.24
OC ,A,Model 4,0,0.62,0.1
OC ,B,Model 4,0,0.32,0
OC ,C,Model 4,0,0.18,0.02
OC ,all,Model 4,0,0.42,0.69
Clay ,A,Model 4,0.01,7.99,0.19
Clay ,B,Model 4,-0.01,9.16,0.26
Clay ,C,Model 4,0,9.8,0.2
Clay ,all,Model 4,0,9.01,0.31
CEC ,A,Model 5,-1.39,6.01,-0.06
CEC ,B,Model 5,-3.1,7.39,-0.18
CEC ,C,Model 5,-3.07,7.75,-0.1
CEC ,all,Model 5,-2.52,7.09,-0.02
OC ,A,Model 5,-0.27,0.73,-0.24
OC ,B,Model 5,0.12,0.35,-0.16
OC ,C,Model 5,0.06,0.2,-0.14
OC ,all,Model 5,-0.03,0.48,0.59
Clay ,A,Model 5,1.18,8.57,0.07
Clay ,B,Model 5,-3.55,10.04,0.11
Clay ,C,Model 5,4.86,11.1,-0.03
Clay ,all,Model 5,0.83,9.96,0.16
CEC ,A,Model 6,0.01,5.6,0.08
CEC ,B,Model 6,-0.04,6.31,0.14
CEC ,C,Model 6,-0.02,6.83,0.15
CEC ,all,Model 6,-0.02,6.27,0.2
OC ,A,Model 6,0,0.65,0
OC ,B,Model 6,0,0.33,-0.05
OC ,C,Model 6,0,0.19,-0.05
OC ,all,Model 6,0,0.43,0.66
Clay ,A,Model 6,0.01,8.22,0.14
Clay ,B,Model 6,-0.03,9.46,0.21
Clay ,C,Model 6,0.02,10.21,0.13
Clay ,all,Model 6,0,9.33,0.26
