sp,hor,model,variable,value
CEC ,A,Model 0,ME,0
CEC ,B,Model 0,ME,-0.01
CEC ,C,Model 0,ME,-0.01
CEC ,all,Model 0,ME,0
OC ,A,Model 0,ME,0
OC ,B,Model 0,ME,0
OC ,C,Model 0,ME,0
OC ,all,Model 0,ME,0
Clay ,A,Model 0,ME,0
Clay ,B,Model 0,ME,-0.01
Clay ,C,Model 0,ME,-0.01
Clay ,all,Model 0,ME,-0.01
CEC ,A,Model 1,ME,-1.39
CEC ,B,Model 1,ME,-3.11
CEC ,C,Model 1,ME,-3.07
CEC ,all,Model 1,ME,-2.52
OC ,A,Model 1,ME,-0.27
OC ,B,Model 1,ME,0.12
OC ,C,Model 1,ME,0.06
OC ,all,Model 1,ME,-0.03
Clay ,A,Model 1,ME,1.18
Clay ,B,Model 1,ME,-3.55
Clay ,C,Model 1,ME,4.86
Clay ,all,Model 1,ME,0.83
CEC ,A,Model 2,ME,0.02
CEC ,B,Model 2,ME,0.01
CEC ,C,Model 2,ME,0.02
CEC ,all,Model 2,ME,0.02
OC ,A,Model 2,ME,0
OC ,B,Model 2,ME,0
OC ,C,Model 2,ME,0
OC ,all,Model 2,ME,0
Clay ,A,Model 2,ME,0.01
Clay ,B,Model 2,ME,0.01
Clay ,C,Model 2,ME,0.04
Clay ,all,Model 2,ME,0.02
CEC ,A,Model 3,ME,0.01
CEC ,B,Model 3,ME,0
CEC ,C,Model 3,ME,0
CEC ,all,Model 3,ME,0
OC ,A,Model 3,ME,0
OC ,B,Model 3,ME,0
OC ,C,Model 3,ME,0
OC ,all,Model 3,ME,0
Clay ,A,Model 3,ME,0
Clay ,B,Model 3,ME,-0.01
Clay ,C,Model 3,ME,0
Clay ,all,Model 3,ME,0
CEC ,A,Model 4,ME,0.01
CEC ,B,Model 4,ME,0
CEC ,C,Model 4,ME,0.01
CEC ,all,Model 4,ME,0.01
OC ,A,Model 4,ME,0
OC ,B,Model 4,ME,0
OC ,C,Model 4,ME,0
OC ,all,Model 4,ME,0
Clay ,A,Model 4,ME,0.01
Clay ,B,Model 4,ME,-0.01
Clay ,C,Model 4,ME,0
Clay ,all,Model 4,ME,0
CEC ,A,Model 5,ME,-1.39
CEC ,B,Model 5,ME,-3.1
CEC ,C,Model 5,ME,-3.07
CEC ,all,Model 5,ME,-2.52
OC ,A,Model 5,ME,-0.27
OC ,B,Model 5,ME,0.12
OC ,C,Model 5,ME,0.06
OC ,all,Model 5,ME,-0.03
Clay ,A,Model 5,ME,1.18
Clay ,B,Model 5,ME,-3.55
Clay ,C,Model 5,ME,4.86
Clay ,all,Model 5,ME,0.83
CEC ,A,Model 6,ME,0.01
CEC ,B,Model 6,ME,-0.04
CEC ,C,Model 6,ME,-0.02
CEC ,all,Model 6,ME,-0.02
OC ,A,Model 6,ME,0
OC ,B,Model 6,ME,0
OC ,C,Model 6,ME,0
OC ,all,Model 6,ME,0
Clay ,A,Model 6,ME,0.01
Clay ,B,Model 6,ME,-0.03
Clay ,C,Model 6,ME,0.02
Clay ,all,Model 6,ME,0
CEC ,A,Model 0,RMSE,3.16
CEC ,B,Model 0,RMSE,3
CEC ,C,Model 0,RMSE,5.46
CEC ,all,Model 0,RMSE,4.3
OC ,A,Model 0,RMSE,0.4
OC ,B,Model 0,RMSE,0.14
OC ,C,Model 0,RMSE,0.06
OC ,all,Model 0,RMSE,0.25
Clay ,A,Model 0,RMSE,4.05
Clay ,B,Model 0,RMSE,5.14
Clay ,C,Model 0,RMSE,6.87
Clay ,all,Model 0,RMSE,5.45
CEC ,A,Model 1,RMSE,5.96
CEC ,B,Model 1,RMSE,7.21
CEC ,C,Model 1,RMSE,7.58
CEC ,all,Model 1,RMSE,6.95
OC ,A,Model 1,RMSE,0.72
OC ,B,Model 1,RMSE,0.34
OC ,C,Model 1,RMSE,0.19
OC ,all,Model 1,RMSE,0.48
Clay ,A,Model 1,RMSE,8.59
Clay ,B,Model 1,RMSE,10
Clay ,C,Model 1,RMSE,11.18
Clay ,all,Model 1,RMSE,9.99
CEC ,A,Model 2,RMSE,6.08
CEC ,B,Model 2,RMSE,6.48
CEC ,C,Model 2,RMSE,7.15
CEC ,all,Model 2,RMSE,6.58
OC ,A,Model 2,RMSE,0.63
OC ,B,Model 2,RMSE,0.33
OC ,C,Model 2,RMSE,0.19
OC ,all,Model 2,RMSE,0.43
Clay ,A,Model 2,RMSE,8.99
Clay ,B,Model 2,RMSE,9.68
Clay ,C,Model 2,RMSE,10.37
Clay ,all,Model 2,RMSE,9.7
CEC ,A,Model 3,RMSE,5.69
CEC ,B,Model 3,RMSE,6.26
CEC ,C,Model 3,RMSE,6.78
CEC ,all,Model 3,RMSE,6.26
OC ,A,Model 3,RMSE,0.63
OC ,B,Model 3,RMSE,0.32
OC ,C,Model 3,RMSE,0.18
OC ,all,Model 3,RMSE,0.42
Clay ,A,Model 3,RMSE,8.35
Clay ,B,Model 3,RMSE,9.39
Clay ,C,Model 3,RMSE,10.08
Clay ,all,Model 3,RMSE,9.3
CEC ,A,Model 4,RMSE,5.49
CEC ,B,Model 4,RMSE,6.21
CEC ,C,Model 4,RMSE,6.63
CEC ,all,Model 4,RMSE,6.13
OC ,A,Model 4,RMSE,0.62
OC ,B,Model 4,RMSE,0.32
OC ,C,Model 4,RMSE,0.18
OC ,all,Model 4,RMSE,0.42
Clay ,A,Model 4,RMSE,7.99
Clay ,B,Model 4,RMSE,9.16
Clay ,C,Model 4,RMSE,9.8
Clay ,all,Model 4,RMSE,9.01
CEC ,A,Model 5,RMSE,6.01
CEC ,B,Model 5,RMSE,7.39
CEC ,C,Model 5,RMSE,7.75
CEC ,all,Model 5,RMSE,7.09
OC ,A,Model 5,RMSE,0.73
OC ,B,Model 5,RMSE,0.35
OC ,C,Model 5,RMSE,0.2
OC ,all,Model 5,RMSE,0.48
Clay ,A,Model 5,RMSE,8.57
Clay ,B,Model 5,RMSE,10.04
Clay ,C,Model 5,RMSE,11.1
Clay ,all,Model 5,RMSE,9.96
CEC ,A,Model 6,RMSE,5.6
CEC ,B,Model 6,RMSE,6.31
CEC ,C,Model 6,RMSE,6.83
CEC ,all,Model 6,RMSE,6.27
OC ,A,Model 6,RMSE,0.65
OC ,B,Model 6,RMSE,0.33
OC ,C,Model 6,RMSE,0.19
OC ,all,Model 6,RMSE,0.43
Clay ,A,Model 6,RMSE,8.22
Clay ,B,Model 6,RMSE,9.46
Clay ,C,Model 6,RMSE,10.21
Clay ,all,Model 6,RMSE,9.33
CEC ,A,Model 0,AVE,0.18
CEC ,B,Model 0,AVE,0.5
CEC ,C,Model 0,AVE,0.45
CEC ,all,Model 0,AVE,0.53
OC ,A,Model 0,AVE,0.24
OC ,B,Model 0,AVE,0.03
OC ,C,Model 0,AVE,0.02
OC ,all,Model 0,AVE,0.91
Clay ,A,Model 0,AVE,0.15
Clay ,B,Model 0,AVE,0.6
Clay ,C,Model 0,AVE,0.41
Clay ,all,Model 0,AVE,0.72
CEC ,A,Model 1,AVE,-0.04
CEC ,B,Model 1,AVE,-0.13
CEC ,C,Model 1,AVE,-0.05
CEC ,all,Model 1,AVE,0.02
OC ,A,Model 1,AVE,-0.24
OC ,B,Model 1,AVE,-0.17
OC ,C,Model 1,AVE,-0.14
OC ,all,Model 1,AVE,0.59
Clay ,A,Model 1,AVE,0.06
Clay ,B,Model 1,AVE,0.12
Clay ,C,Model 1,AVE,-0.04
Clay ,all,Model 1,AVE,0.16
CEC ,A,Model 2,AVE,-0.08
CEC ,B,Model 2,AVE,0.09
CEC ,C,Model 2,AVE,0.07
CEC ,all,Model 2,AVE,0.12
OC ,A,Model 2,AVE,0.06
OC ,B,Model 2,AVE,-0.04
OC ,C,Model 2,AVE,-0.04
OC ,all,Model 2,AVE,0.67
Clay ,A,Model 2,AVE,-0.02
Clay ,B,Model 2,AVE,0.17
Clay ,C,Model 2,AVE,0.1
Clay ,all,Model 2,AVE,0.2
CEC ,A,Model 3,AVE,0.05
CEC ,B,Model 3,AVE,0.15
CEC ,C,Model 3,AVE,0.16
CEC ,all,Model 3,AVE,0.2
OC ,A,Model 3,AVE,0.07
OC ,B,Model 3,AVE,0.03
OC ,C,Model 3,AVE,0.04
OC ,all,Model 3,AVE,0.68
Clay ,A,Model 3,AVE,0.12
Clay ,B,Model 3,AVE,0.22
Clay ,C,Model 3,AVE,0.15
Clay ,all,Model 3,AVE,0.27
CEC ,A,Model 4,AVE,0.12
CEC ,B,Model 4,AVE,0.17
CEC ,C,Model 4,AVE,0.2
