"","id","lhs","op","rhs","user","block","group","free","ustart","exo","label","plabel","start","est","se"
"16",16,"clay.Cr","~","dem",1,1,1,1,NA,0,"",".p16.",0,0.789082356042077,0.333502741523851
"17",17,"clay.Cr","~","vdchn",1,1,1,2,NA,0,"",".p17.",0,-0.0407358488444436,0.0691099365834321
"18",18,"clay.Cr","~","X",1,1,1,3,NA,0,"",".p18.",0,1.46212590159346,0.372488878430294
"19",19,"clay.Cr","~","lstm",1,1,1,4,NA,0,"",".p19.",0,0.328043265580651,0.105610948671775
"20",20,"clay.Ar","~","clay.Cr",1,1,1,5,NA,0,"",".p20.",0,0.555380977820208,0.0662312158575787
"21",21,"clay.Ar","~","evisd",1,1,1,6,NA,0,"",".p21.",0,0.233557797865672,0.0871929640670242
"22",22,"clay.Ar","~","lstm",1,1,1,7,NA,0,"",".p22.",0,-0.0192682006027967,0.0870272729264754
"23",23,"clay.Ar","~","ndwi.b",1,1,1,8,NA,0,"",".p23.",0,0.201315903270911,0.0675586712116893
"24",24,"clay.Br","~","clay.Ar",1,1,1,9,NA,0,"",".p24.",0,0.395457475534829,0.0690399921111318
"25",25,"clay.Br","~","clay.Cr",1,1,1,10,NA,0,"",".p25.",0,0.360477370665759,0.071178079276535
"26",26,"clay.Br","~","vdchn",1,1,1,11,NA,0,"",".p26.",0,-0.107854514895861,0.0539622852558628
"27",27,"clay.Br","~","twi",1,1,1,12,NA,0,"",".p27.",0,-0.014156993935829,0.0555101139505725
"28",28,"clay.Br","~","ndwi.b",1,1,1,13,NA,0,"",".p28.",0,-0.0151624801521974,0.0545919666331281
"29",29,"clay.Br","~","X",1,1,1,14,NA,0,"",".p29.",0,0.260796645245943,0.0779440756737768
"30",30,"OC.Ar","~","clay.Ar",1,1,1,15,NA,0,"",".p30.",0,0.0298767894465005,0.107402960573841
"31",31,"OC.Ar","~","evisd",1,1,1,16,NA,0,"",".p31.",0,0.0392364604825943,0.150883433902029
"32",32,"OC.Ar","~","lstm",1,1,1,17,NA,0,"",".p32.",0,-0.336830956880786,0.103004802745089
"33",33,"OC.Ar","~","ndwi.b",1,1,1,18,NA,0,"",".p33.",0,-0.283992542457144,0.0832196923118843
"34",34,"OC.Br","~","OC.Ar",1,1,1,19,NA,0,"",".p34.",0,0.255466850916873,0.0824555226861861
"35",35,"OC.Br","~","clay.Br",1,1,1,20,NA,0,"",".p35.",0,0.641479281683757,0.0971851219743889
"36",36,"OC.Br","~","evisd",1,1,1,21,NA,0,"",".p36.",0,-0.148323579321602,0.146137456639429
"37",37,"OC.Br","~","lstm",1,1,1,22,NA,0,"",".p37.",0,0.0266908016963657,0.117877947949995
"38",38,"OC.Br","~","ndwi.a",1,1,1,23,NA,0,"",".p38.",0,-0.0598922237470647,0.155323979603659
"39",39,"OC.Br","~","vdchn",1,1,1,24,NA,0,"",".p39.",0,0.0298309743662687,0.0691668454546169
"40",40,"OC.Cr","~","OC.Br",1,1,1,25,NA,0,"",".p40.",0,0.516628928465607,0.0725732406669135
"41",41,"CEC.Ar","~","OC.Ar",1,1,1,26,NA,0,"",".p41.",0,0.228326189486266,0.0313878770415635
"42",42,"CEC.Ar","~","clay.Ar",1,1,1,27,NA,0,"",".p42.",0,0.967434214515757,0.032127445719485
"43",43,"CEC.Br","~","clay.Br",1,1,1,28,NA,0,"",".p43.",0,0.918419390055961,0.0434639116288997
"45",45,"CEC.Cr","~","clay.Cr",1,1,1,29,NA,0,"",".p45.",0,0.726808814418793,0.0500862847385114
"47",47,"CEC.Ar","~~","CEC.Br",1,1,1,30,NA,0,"",".p47.",0,0.0763109118274904,0.0121644416632938
"49",49,"CEC.Br","~~","CEC.Cr",1,1,1,31,NA,0,"",".p49.",0,0.197817247921552,0.0282476710431487
"50",50,"clay.Br","~","lstm",1,1,1,32,NA,0,"",".p50.",0,0.0601880495927104,0.0739655897087394
"51",51,"OC.Br","~","dem",1,1,1,33,NA,0,"",".p51.",0,0.377535784759195,0.0928359337761372
"52",52,"clay.Ar","~","twi",1,1,1,34,NA,0,"",".p52.",0,-0.194284957887007,0.0610488418932915
"53",53,"OC.Cr","~","dem",1,1,1,35,NA,0,"",".p53.",0,0.157932742043935,0.066423866229463
"54",54,"OC.Ar","~","ndwi.a",1,1,1,36,NA,0,"",".p54.",0,-0.426410759591919,0.172993214857945
"55",55,"OC.Ar","~","clay.Br",1,1,1,37,NA,0,"",".p55.",0,0.441049626787289,0.108692573372081
"56",56,"OC.Br","~~","clay.Ar",1,1,1,38,NA,0,"",".p56.",0,-0.168107569040498,0.055012907119489
"57",57,"CEC.Ar","~","dem",1,1,1,39,NA,0,"",".p57.",0,0.216723024122051,0.0325755796309463
"58",58,"CEC.Cr","~","evisd",1,1,1,40,NA,0,"",".p58.",0,0.334075070204096,0.0549878405425983
"59",59,"CEC.Br","~","dem",1,1,1,41,NA,0,"",".p59.",0,0.601814872203765,0.114397425703249
"60",60,"CEC.Br","~","X",1,1,1,42,NA,0,"",".p60.",0,0.472716596166504,0.118385078544011
"61",61,"CEC.Br","~","evisd",1,1,1,43,NA,0,"",".p61.",0,0.123479068543614,0.0385844104230269
"62",62,"OC.Cr","~~","clay.Cr",1,1,1,44,NA,0,"",".p62.",0,0.22784122512484,0.0636467787503162
"63",63,"CEC.Ar","~~","clay.Br",1,1,1,45,NA,0,"",".p63.",0,-0.0574485522415628,0.0168636389262098
"67",67,"CEC.Ar","~~","CEC.Ar",0,1,1,46,NA,0,"",".p67.",0.05,0.0816870597279004,0.0151237953395716
"68",68,"CEC.Br","~~","CEC.Br",0,1,1,47,NA,0,"",".p68.",0.05,0.186949426286845,0.024015037780292
"69",69,"CEC.Cr","~~","CEC.Cr",0,1,1,48,NA,0,"",".p69.",0.05,0.409967493586659,0.0507934297734802
"70",70,"OC.Ar","~~","OC.Ar",0,1,1,49,NA,0,"",".p70.",0.05,0.616433217158555,0.0786641023191085
"71",71,"OC.Br","~~","OC.Br",0,1,1,50,NA,0,"",".p71.",0.05,0.589813348854512,0.0771022750934967
"72",72,"OC.Cr","~~","OC.Cr",0,1,1,51,NA,0,"",".p72.",0.05,0.577599004536271,0.0770200033074366
"73",73,"clay.Ar","~~","clay.Ar",0,1,1,52,NA,0,"",".p73.",0.05,0.511609047707847,0.066415036779099
"74",74,"clay.Br","~~","clay.Br",0,1,1,53,NA,0,"",".p74.",0.05,0.284542570507261,0.039469659999062
"75",75,"clay.Cr","~~","clay.Cr",0,1,1,54,NA,0,"",".p75.",0.05,0.679684523079695,0.0852289115009663
