"","mukey","musym","comppct_r","hzname","hzdept_r","hzdepb_r","claytotal_r","om_r","cec7_r"
"1",1699285,1003,100,"A",0,15,6,0.75,5.5
"2",1699285,1003,100,"C1",15,107,5,0.75,3.5
"3",1699285,1003,100,"2C2",107,152,5,0.75,3.5
"4",1699144,1007,100,"H1",0,41,7.5,0.75,6
"5",1699144,1007,100,"H2",41,94,2,0.25,7.5
"6",1699144,1007,100,"H3",94,147,31,0.25,23
"7",1699144,1007,100,"H4",147,152,19.5,0.25,14
"8",1699146,1020,100,"H1",0,25,22.5,2,15
"9",1699146,1020,100,"H2",25,91,27.5,0.75,17.5
"10",1699146,1020,100,"H3",91,122,11.5,0.25,7.5
"11",1699146,1020,100,"H4",122,152,4.5,0.25,3
"12",1700110,1021,85,"Ap",0,18,22.5,2.5,13
"13",1700110,1021,85,"A",18,33,22.5,2.5,13
"14",1700110,1021,85,"Ck1",33,66,13,0.25,12.5
"15",1700110,1021,85,"Ck2",66,104,31,0.75,22.5
"16",1700110,1021,85,"C3",104,137,17,0.5,8
"17",1700110,1021,85,"C4",137,183,15,0.5,15
"18",1700110,1021,85,"2C5",183,203,1,0.25,5.5
"19",1700110,1021,8,"Ap",0,13,15,3,13.5
"20",1700110,1021,8,"A1",13,36,15,3,13.5
"21",1700110,1021,8,"A2",36,58,10,2,9
"22",1700110,1021,8,"C1",58,99,13.5,0.9,10.5
"23",1700110,1021,8,"C2",99,117,17,0.25,7.5
"24",1700110,1021,8,"C3",117,165,7,0.25,5
"25",1700110,1021,8,"2Cg",165,203,0.5,0.25,1
"26",1700110,1021,7,"Ap",0,15,20,3,20
"27",1700110,1021,7,"A1",15,40,20,3,20
"28",1700110,1021,7,"A2",40,50,10,0.75,7.5
"29",1700110,1021,7,"C1",50,68,8,0.5,7.5
"30",1700110,1021,7,"2C2",68,86,4,0.5,7.5
"31",1700110,1021,7,"2C3",86,99,1,0.5,7.5
"32",1700110,1021,7,"2Cg",99,203,1,0.25,2.5
"33",2228189,1021,85,"Ap",0,18,22.5,2.5,13
"34",2228189,1021,85,"A",18,33,22.5,2.5,13
"35",2228189,1021,85,"Ck1",33,66,13,0.25,12.5
"36",2228189,1021,85,"Ck2",66,104,31,0.75,22.5
"37",2228189,1021,85,"C3",104,137,17,0.5,8
"38",2228189,1021,85,"C4",137,183,15,0.5,15
"39",2228189,1021,85,"2C5",183,203,1,0.25,5.5
"40",2228189,1021,8,"Ap",0,13,15,3,13.5
"41",2228189,1021,8,"A1",13,36,15,3,13.5
"42",2228189,1021,8,"A2",36,58,10,2,9
"43",2228189,1021,8,"C1",58,99,13.5,0.9,10.5
"44",2228189,1021,8,"C2",99,117,17,0.25,7.5
"45",2228189,1021,8,"C3",117,165,7,0.25,5
"46",2228189,1021,8,"2Cg",165,203,0.5,0.25,1
"47",2228189,1021,7,"Ap",0,15,20,3,20
"48",2228189,1021,7,"A1",15,40,20,3,20
"49",2228189,1021,7,"A2",40,50,10,0.75,7.5
"50",2228189,1021,7,"C1",50,68,8,0.5,7.5
"51",2228189,1021,7,"2C2",68,86,4,0.5,7.5
"52",2228189,1021,7,"2C3",86,99,1,0.5,7.5
"53",2228189,1021,7,"2Cg",99,203,1,0.25,2.5
"54",2228247,1021,85,"Ap",0,18,22.5,2.5,13
"55",2228247,1021,85,"A",18,33,22.5,2.5,13
"56",2228247,1021,85,"Ck1",33,66,13,0.25,12.5
"57",2228247,1021,85,"Ck2",66,104,31,0.75,22.5
"58",2228247,1021,85,"C3",104,137,17,0.5,8
"59",2228247,1021,85,"C4",137,183,15,0.5,15
"60",2228247,1021,85,"2C5",183,203,1,0.25,5.5
"61",2228247,1021,8,"Ap",0,13,15,3,13.5
"62",2228247,1021,8,"A1",13,36,15,3,13.5
"63",2228247,1021,8,"A2",36,58,10,2,9
"64",2228247,1021,8,"C1",58,99,13.5,0.9,10.5
"65",2228247,1021,8,"C2",99,117,17,0.25,7.5
"66",2228247,1021,8,"C3",117,165,7,0.25,5
"67",2228247,1021,8,"2Cg",165,203,0.5,0.25,1
"68",2228247,1021,7,"Ap",0,15,20,3,20
"69",2228247,1021,7,"A1",15,40,20,3,20
"70",2228247,1021,7,"A2",40,50,10,0.75,7.5
"71",2228247,1021,7,"C1",50,68,8,0.5,7.5
"72",2228247,1021,7,"2C2",68,86,4,0.5,7.5
"73",2228247,1021,7,"2C3",86,99,1,0.5,7.5
"74",2228247,1021,7,"2Cg",99,203,1,0.25,2.5
"75",1709628,1022,70,"A",0,36,22.5,2.5,15
"76",1709628,1022,70,"C",36,152,28.5,0.75,15
"77",1709628,1022,29,"E",0,5,23.5,3.5,20
"78",1709628,1022,29,"Bt1",5,33,48,1.5,28
"79",1709628,1022,29,"Bt2",33,51,40,0.5,21
"80",1709628,1022,29,"BC",51,71,23.5,0.5,17
"81",1709628,1022,29,"C",71,152,12.5,0.25,9
"82",1709628,1022,1,"H1",0,203,NA,NA,NA
"83",1699273,1032,100,"Ak",0,15,10,1.5,10
"84",1699273,1032,100,"Ckn1",15,112,7.5,0.25,7.5
"85",1699273,1032,100,"Cng2",112,152,2.5,0.25,5
"86",2219060,1032,100,"Ak",0,15,10,1.5,10
"87",2219060,1032,100,"Ckn1",15,112,7.5,0.25,7.5
"88",2219060,1032,100,"Cng2",112,152,2.5,0.25,5
"89",99702,1038,98,"A",0,25,24,3,25
"90",99702,1038,98,"BA",25,48,30,1.5,22.5
"91",99702,1038,98,"C",48,152,25,0.25,12.5
"92",1691737,1038,99,"A",0,38,23.5,3,25
"93",1691737,1038,99,"AC",38,48,25.5,1.5,22.5
"94",1691737,1038,99,"C",48,152,25.5,0.25,12.5
"95",1691737,1038,1,"H1",0,203,NA,NA,NA
"96",1700046,1038,100,"A",0,30,23.5,3,25
"97",1700046,1038,100,"C",30,107,19.5,0.75,12.5
"98",1700046,1038,100,"2C",107,203,4,0.25,2.5
"99",1699312,1073,100,"An",0,13,18.5,3,16
"100",1699312,1073,100,"Cng1",13,102,11.5,1.25,9.5
"101",1699312,1073,100,"Cg2",102,152,2.5,0.25,2
"102",1150655,1110,100,"A",0,13,23.5,1,13
"103",1150655,1110,100,"C",13,152,26,0.5,14.5
"104",1152006,1110,100,"A",0,13,23.5,1,13
"105",1152006,1110,100,"C",13,152,26,0.5,14.5
"106",1151968,1122,100,"A",0,30,20.5,2,12
"107",1151968,1122,100,"C",30,152,24,0.8,12.5
"108",1152008,1122,100,"A",0,28,20.5,1.5,12
"109",1152008,1122,100,"C",28,152,24,0.8,12.5
"110",1152060,1122,100,"A",0,28,20.5,1.5,12
"111",1152060,1122,100,"C",28,152,27,0.8,12.5
"112",1152302,1122,100,"A",0,28,20.5,2,12
"113",1152302,1122,100,"C",28,152,24,0.8,12.5
"114",1152302,1122,NA,"A",0,38,27.5,1.5,14.5
"115",1152302,1122,NA,"C",38,91,8,0.3,5
"116",1152387,1122,100,"A",0,28,20.5,2,12
"117",1152387,1122,100,"C",28,152,24,0.8,12.5
"118",1150505,1124,95,"A",0,30,21,2.5,17.2
"119",1150505,1124,95,"Bk",30,65,24,0.5,16.2
"120",1150505,1124,95,"C",65,200,24,0.5,16.2
"121",1150505,1124,5,"A",0,30,23,2.5,18.7
"122",1150505,1124,5,"C",30,200,24,0.8,18.7
"123",772972,1125,100,"A",0,48,20.5,2.5,12.5
"124",772972,1125,100,"C",48,152,24,0.5,12.5
"125",772972,1125,0,"H1",0,152,NA,NA,NA
"126",1150454,1125,100,"A",0,48,20.5,2.5,12.5
"127",1150454,1125,100,"C",48,152,24,0.5,12.5
"128",1150454,1125,0,"H1",0,152,NA,NA,NA
"129",1150565,1125,100,"A",0,48,20.5,2.5,12.5
"130",1150565,1125,100,"C",48,152,24,0.5,12.5
"131",1150565,1125,0,"H1",0,152,NA,NA,NA
