"","lhs","op","rhs","est","se","new.est","sd","ratio","diff"
"16","clay.Cr","~","dem",0.795,0.333,0.896,0.362,2.475,-0.101
"17","clay.Cr","~","vdchn",-0.033,0.068,-0.091,0.074,1.23,0.058
"18","clay.Cr","~","X",1.468,0.372,1.574,0.412,3.82,-0.106
"19","clay.Cr","~","lstm",0.325,0.105,0.271,0.122,2.221,0.054
"20","clay.Ar","~","clay.Cr",0.556,0.066,0.544,0.117,4.65,0.012
"21","clay.Ar","~","evisd",0.234,0.087,0.214,0.074,2.892,0.02
"22","clay.Ar","~","lstm",-0.024,0.087,0.093,0.095,0.979,-0.117
"23","clay.Ar","~","ndwi.b",0.202,0.067,0.286,0.073,3.918,-0.084
"24","clay.Br","~","clay.Ar",0.395,0.069,0.399,0.079,5.051,-0.004
"25","clay.Br","~","clay.Cr",0.359,0.071,0.436,0.102,4.275,-0.077
"26","clay.Br","~","vdchn",-0.111,0.053,0.043,0.063,0.683,-0.154
"27","clay.Br","~","twi",-0.014,0.055,0.033,0.044,0.75,-0.047
"28","clay.Br","~","ndwi.b",-0.016,0.054,0.017,0.053,0.321,-0.033
"29","clay.Br","~","X",0.262,0.078,0.352,0.099,3.556,-0.09
"30","OC.Ar","~","clay.Ar",0.021,0.107,-0.078,0.142,0.549,0.099
"31","OC.Ar","~","evisd",0.036,0.151,0.042,0.125,0.336,-0.006
"32","OC.Ar","~","lstm",-0.33,0.102,-0.17,0.101,1.683,-0.16
"33","OC.Ar","~","ndwi.b",-0.283,0.083,-0.155,0.098,1.582,-0.128
"34","OC.Br","~","OC.Ar",0.258,0.082,0.176,0.121,1.455,0.082
"35","OC.Br","~","clay.Br",0.641,0.097,0.67,0.122,5.492,-0.029
"36","OC.Br","~","evisd",-0.152,0.145,-0.157,0.12,1.308,0.005
"37","OC.Br","~","lstm",0.031,0.117,0.012,0.137,0.088,0.019
"38","OC.Br","~","ndwi.a",-0.057,0.155,0.019,0.133,0.143,-0.076
"39","OC.Br","~","vdchn",0.025,0.068,0.033,0.072,0.458,-0.008
"40","OC.Cr","~","OC.Br",0.52,0.072,0.416,0.103,4.039,0.104
"41","CEC.Ar","~","OC.Ar",0.229,0.031,0.251,0.04,6.275,-0.022
"42","CEC.Ar","~","clay.Ar",0.969,0.032,0.965,0.062,15.565,0.004
"43","CEC.Br","~","clay.Br",0.918,0.043,0.961,0.059,16.288,-0.043
"45","CEC.Cr","~","clay.Cr",0.724,0.05,0.764,0.058,13.172,-0.04
"47","CEC.Ar","~~","CEC.Br",0.076,0.012,0.112,0.022,5.091,-0.036
"49","CEC.Br","~~","CEC.Cr",0.198,0.028,0.199,0.049,4.061,-0.001
"50","clay.Br","~","lstm",0.063,0.073,0.145,0.08,1.812,-0.082
"51","OC.Br","~","dem",0.378,0.093,0.274,0.107,2.561,0.104
"52","clay.Ar","~","twi",-0.198,0.061,-0.201,0.052,3.865,0.003
"53","OC.Cr","~","dem",0.16,0.066,0.001,0.097,0.01,0.159
"54","OC.Ar","~","ndwi.a",-0.421,0.172,-0.279,0.126,2.214,-0.142
"55","OC.Ar","~","clay.Br",0.447,0.108,0.445,0.112,3.973,0.002
"56","OC.Br","~~","clay.Ar",-0.169,0.055,-0.169,0.098,1.724,0
"57","CEC.Ar","~","dem",0.217,0.033,0.221,0.038,5.816,-0.004
"58","CEC.Cr","~","evisd",0.33,0.055,0.188,0.062,3.032,0.142
"59","CEC.Br","~","dem",0.603,0.114,0.837,0.182,4.599,-0.234
"60","CEC.Br","~","X",0.474,0.118,0.691,0.188,3.676,-0.217
"61","CEC.Br","~","evisd",0.122,0.039,0.076,0.041,1.854,0.046
"62","OC.Cr","~~","clay.Cr",0.224,0.063,0.286,0.105,2.724,-0.062
"63","CEC.Ar","~~","clay.Br",-0.058,0.017,-0.054,0.019,2.842,-0.004
"67","CEC.Ar","~~","CEC.Ar",0.081,0.015,0.123,0.031,3.968,-0.042
"68","CEC.Br","~~","CEC.Br",0.187,0.024,0.236,0.052,4.538,-0.049
"69","CEC.Cr","~~","CEC.Cr",0.411,0.051,0.403,0.067,6.015,0.008
"70","OC.Ar","~~","OC.Ar",0.615,0.078,0.913,0.147,6.211,-0.298
"71","OC.Br","~~","OC.Br",0.586,0.076,0.822,0.09,9.133,-0.236
"72","OC.Cr","~~","OC.Cr",0.575,0.076,0.874,0.153,5.712,-0.299
"73","clay.Ar","~~","clay.Ar",0.51,0.066,0.759,0.106,7.16,-0.249
"74","clay.Br","~~","clay.Br",0.283,0.039,0.341,0.065,5.246,-0.058
"75","clay.Cr","~~","clay.Cr",0.676,0.084,0.745,0.155,4.806,-0.069
