"","Soil_property","ME","RMSE","r2"
"1","CEC.A",-0.066250346178227,5.36277056701755,0.168011558942061
"2","CEC.B",-0.137686075556168,5.74326497604168,0.251604578683439
"3","CEC.C",-0.100012248740732,5.54874619487765,0.414391123714441
"4","OC.A",0.00723861966056801,0.556289904075879,0.202556185970699
"5","OC.B",-0.00411502985139648,0.227027107651833,0.0685116338711091
"6","OC.C",0.00252154365143509,0.102241806340938,0.110123401332068
"7","Clay.A",-0.138885349265609,7.72179132865883,0.229468932685269
"8","Clay.B",-0.172171021735253,8.36043840953019,0.353356245582159
"9","Clay.C",-0.205768256342166,7.9629141219092,0.442756311193123
"11","CECo",-0.101316223491709,5.55376704212753,0.353739583158727
"31","OCo",0.00188171115353554,0.351877418025731,0.75906334342089
"51","clayo",-0.172274875781009,8.01937223303253,0.430843207893936
