"","Soil_property","ME","RMSE","r2"
"1","CEC.A",-0.0700667007326908,5.13364080375832,0.237587839413625
"2","CEC.B",-0.108990756587549,5.45676386920693,0.324409185314058
"3","CEC.C",-0.107311419789189,5.37496634719672,0.450497807772319
"4","OC.A",0.00405419366865512,0.530995437828515,0.273426896992928
"5","OC.B",-0.00136249790692323,0.212403660081348,0.184646396550434
"6","OC.C",0.00345387598620432,0.0982139057931085,0.178857134717785
"7","Clay.A",-0.129731991561384,7.43602329512762,0.285445243092756
"8","Clay.B",-0.132163218132608,7.94799997462175,0.415583192145757
"9","Clay.C",-0.18694163636405,7.69539458227305,0.47956933179207
"11","CECo",-0.0954562923698098,5.32355780344285,0.406205478173382
"31","OCo",0.00204852391597873,0.335021114310619,0.781594060932893
"51","clayo",-0.149612282019348,7.6959782531559,0.475821937011793
