X,Y,field_1,id,id,a_registro,p_modal,p_fecha,p_id,tipo,top,bottom,a_humedad,a_s,a_t,a_ph_pasta,a_ph_h2o,a_ph_kcl,a_resistencia_pasta,a_base_ca,a_base_mg,a_base_k,a_base_na,a_mo_c,a_mo_n,a_mo_cn,a_arcilla,a_limo_2_20,a_limo_2_50,a_arena_muy_fina,a_arena_fina,a_arena_media,a_arena_gruesa,a_arena_muy_gruesa,a_ca_co3,a_conductividad,a_h,a_saturacion_t,a_saturacion_s_h,a_profundidad_muestra,barnices,co3,color_humedo_hvc,color_seco_hvc,concreciones,estructura_tipo,estructura_clase,estructura_grado,formaciones_especiales,humedad,limite_tipo,moteados,p_profundidad_napa,p_cobertura_vegetal,p_vegetacion_o_cultivos,p_u_mosaico,p_humedad_clase,p_erosion_clase,p_erosion_subclase,p_sales,p_uso_de_la_tierra,p_relieve,p_permeabilidad,p_escurrimiento,p_pendiente,p_anegamiento,p_drenaje,p_posicion,ph,raices,p_serie_nombre,p_serie_simbolo,p_grupo,p_observaciones
-61.033332064544041,-34.46666503672985,1112,592,1715,2265,false,1966-11-11,04/16 C (FAO),A11,0,21,14.8,9.8,12.9,5.4,5.7,4.9,NA,6.8,1.4,1.1,0.5,0.87,96,9,11.2,6.1,25,56.2,7.6,0,0,0,0,NA,3.6,76,NA,0 - 15,,,10YR 2/2,,,granular,,,,,claro,,NA,100,Pastura,3560-7-2,no uniforme,ligera,hídrica,clase 0,frutícola,normal,rápida,rápido,1 - 3%,clase 5,,loma,5.7,3,Saforcada,Sf,Brunizem regosólico - Hapludol éntico,"El AC2 puede ser un B cámbico incipiente.
Muestreado para urgencia.
Corte camino cara al N.E."
-61.033332064544041,-34.46666503672985,1113,592,1716,2266,false,1966-11-11,04/16 C (FAO),A12,21,35,15.2,11.6,14.4,5.7,6.2,5.1,NA,7.9,2.3,0.9,0.5,0.71,78,9,13.2,5.6,32,46.9,7.9,0,0,0,0,NA,2.1,80,NA,21 - 35,,,10YR 3/2,,,granular,,,,,gradual,,NA,100,Pastura,3560-7-2,no uniforme,ligera,hídrica,clase 0,frutícola,normal,rápida,rápido,1 - 3%,clase 5,,loma,6.2,3,Saforcada,Sf,Brunizem regosólico - Hapludol éntico,"El AC2 puede ser un B cámbico incipiente.
Muestreado para urgencia.
Corte camino cara al N.E."
-61.033332064544041,-34.46666503672985,1110,592,1717,2267,false,1966-11-11,04/16 C (FAO),AC1,35,50,12.9,10.1,13.1,6,6.5,5.2,NA,7.3,1.6,0.9,0.3,0.37,65,6,12,5.5,16,40,32,0,0,0,0,NA,1.5,77,NA,40 - 50,,,10YR 3/4,,,bloques subangulares,medios,débil,,,difuso,,NA,100,Pastura,3560-7-2,no uniforme,ligera,hídrica,clase 0,frutícola,normal,rápida,rápido,1 - 3%,clase 5,,loma,6.5,2,Saforcada,Sf,Brunizem regosólico - Hapludol éntico,"El AC2 puede ser un B cámbico incipiente.
Muestreado para urgencia.
Corte camino cara al N.E."
-61.033332064544041,-34.46666503672985,1115,592,1718,2268,false,1966-11-11,04/16 C (FAO),AC2,50,90,12.1,10.2,12.1,6.3,6.6,5.2,NA,6.6,2.5,0.8,0.3,0.21,48,4,10.1,4.1,17.1,38,34.8,0,0,0,0,NA,1.5,84,NA,60 - 80,,,7.5YR 3/2,,,bloques subangulares,medios,débil,,,difuso,,NA,100,Pastura,3560-7-2,no uniforme,ligera,hídrica,clase 0,frutícola,normal,rápida,rápido,1 - 3%,clase 5,,loma,6.6,1,Saforcada,Sf,Brunizem regosólico - Hapludol éntico,"El AC2 puede ser un B cámbico incipiente.
Muestreado para urgencia.
Corte camino cara al N.E."
-61.033332064544041,-34.46666503672985,1111,592,1719,2269,false,1966-11-11,04/16 C (FAO),C1,90,130,10.7,9.7,11.8,6.5,7.1,5.4,NA,6.1,2.4,0.8,0.4,0.12,NA,NA,8.5,4.2,17.6,34.6,39.3,0,0,0,0,NA,1,82,NA,100 - 120,,,10YR 3/4,,,masiva,,,,,difuso,,NA,100,Pastura,3560-7-2,no uniforme,ligera,hídrica,clase 0,frutícola,normal,rápida,rápido,1 - 3%,clase 5,,loma,7.1,1,Saforcada,Sf,Brunizem regosólico - Hapludol éntico,"El AC2 puede ser un B cámbico incipiente.
Muestreado para urgencia.
Corte camino cara al N.E."
-61.033332064544041,-34.46666503672985,1114,592,1720,2270,false,1966-11-11,04/16 C (FAO),C2,130,NA,10.3,10.1,12.3,6.7,7,5.4,NA,6.1,2.6,0.9,0.5,0.1,NA,NA,8.3,3.6,19.2,23.2,49.3,0,0,0,0,NA,0.5,82,NA,135 - 145,,,10YR 3/4,,,granular,,,,,difuso,,NA,100,Pastura,3560-7-2,no uniforme,ligera,hídrica,clase 0,frutícola,normal,rápida,rápido,1 - 3%,clase 5,,loma,7,,Saforcada,Sf,Brunizem regosólico - Hapludol éntico,"El AC2 puede ser un B cámbico incipiente.
Muestreado para urgencia.
Corte camino cara al N.E."
-60.554229689639563,-33.886455132826754,2087,773,2849,9086,false,1969-09-23,06/118 C,A1,0,20,29.7,18.5,21.2,6.1,6.8,5.6,2993,10.4,4.3,2.6,1.2,2.75,254,11,25.5,25.5,53.3,20.3,0.9,NA,NA,NA,0,NA,6.3,87,75,9 - 18,,,10YR 3.5/2,10YR 6/2,,bloques angulares,medios,,,seco,abrupto,,NA,70,Centeno,3360-32-4,uniforme,severa,hídrica,clase 2,ganadero,normal,moderadamente lenta,medio,0 - 1%,clase 5,clase 3,media loma baja,6.5,2,Rancagua,Rn,,"Posiblemente A1 formado por mezcla de A2 y B2.
A1: erosionado."
-60.554229689639563,-33.886455132826754,2086,773,2850,9087,false,1969-09-23,06/118 C,B21,20,38,38.8,NA,28.6,7.7,8.4,6.9,1107,NA,NA,3.1,8.4,1.22,112,11,32.7,25.5,53.2,13.5,0.6,NA,NA,NA,0.01,NA,NA,NA,NA,25 - 35,+++ gruesos (10YR 3/2),,10YR 3/2,,,prismas,gruesos,débil,grietas,fresco,claro,"Fe Mn +  finos, débiles",NA,70,Centeno,3360-32-4,uniforme,severa,hídrica,clase 2,ganadero,normal,moderadamente lenta,medio,0 - 1%,clase 5,clase 3,media loma baja,8.2,2,Rancagua,Rn,,"Posiblemente A1 formado por mezcla de A2 y B2.
A1: erosionado."
-60.554229689639563,-33.886455132826754,2089,773,2851,9088,false,1969-09-23,06/118 C,B22x,38,55,36.7,NA,23.7,8.2,8.9,7.5,779,NA,NA,3.5,11.1,0.3,47,7,28.4,28.4,56.5,14.4,0.7,NA,NA,NA,0.01,2.16,NA,NA,NA,40 - 55,,++,7.5YR 4/2,,+++,prismas,gruesos,débil,abundantes concreciones de CO3Ca,fresco,claro,"+  finos, débiles",NA,70,Centeno,3360-32-4,uniforme,severa,hídrica,clase 2,ganadero,normal,moderadamente lenta,medio,0 - 1%,clase 5,clase 3,media loma baja,8.4,2,Rancagua,Rn,,"Posiblemente A1 formado por mezcla de A2 y B2.
A1: erosionado."
-60.554229689639563,-33.886455132826754,2090,773,2876,9089,false,1969-09-23,06/118 C,B3x,55,110,32.3,NA,21.2,8.4,8.9,7.4,471,NA,NA,3.4,13.5,0.13,NA,NA,24.9,24.7,48.7,25.1,1.3,NA,NA,NA,0.01,3.77,NA,NA,NA,70 - 90,++ medios,++,7.5YR 4/2,,++,bloques angulares,medios,débil,muñequillas de 5 cm.,fresco,difuso,,NA,70,Centeno,3360-32-4,uniforme,severa,hídrica,clase 2,ganadero,normal,moderadamente lenta,medio,0 - 1%,clase 5,clase 3,media loma baja,8.4,1,Rancagua,Rn,,"Posiblemente A1 formado por mezcla de A2 y B2.
A1: erosionado."
