"","id.p","is.mottles","is.concr","thick.A","a_S.A","a_sat_CEC.A","esp.A","esp.B","a_OC.A","Bt","is.caco3","d.caco3","is.E","is.hydro","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","X","Y"
"1",3,1,0,25,16.584,85.12,2.12252773757839,2.97619047619048,2.28,1.74526121128063,1,65,1,0,71.7670822143555,128509.015625,330.009307861328,13.5402412414551,0.432925075292587,0.186620831489563,9.83001804351807,1.50961303710938,0,296.085029557434,7.67512255647816,3833.95833333333,1412.32090330636,5431759.47799844,6186651.57801913
"4",326,1,1,14,14.8,74,0.675675675675676,6.55534941249227,1.55,1.60468227424749,0,NA,1,1,86.4337921142578,77951.09375,579.412536621094,0.148805007338524,3.93385100364685,0.0788819417357445,12.7417278289795,1.29917907714844,0,297.173861734668,7.66045355482176,3286.84722222222,1898.39972107332,5407998.477998,6276905.97801914
"5",329,1,1,23,13.5,84,2.96296296296296,2.1039935674082,1.56,1.71495016611296,0,NA,0,1,71.332389831543,44848.6875,1489.50500488281,5.37025260925293,2.24883794784546,0.267844676971436,9.34157848358154,9.60565185546875,0,297.719912348869,7.93701830715307,3486.50694444444,1516.64131128105,5450186.17800232,6280416.37802234
"7",335,1,1,26,16.2,85,2.46913580246914,3.24568611339359,1.61,1.64236431792253,0,NA,0,1,64.1855926513672,45794.97265625,1824.88012695312,-5.13897180557251,1.58458721637726,0.451165914535522,10.0771226882935,3.32063674926758,0,297.451917343922,7.65213012640965,3214.98611111111,1850.64674382636,5448389.77800111,6280648.37802399
"9",337,1,1,15,12.3,76,14.6341463414634,NA,1.62,2.60144733315465,1,15,0,1,61.5468139648438,53371.875,844.831481933594,-1.85286235809326,2.92480158805847,0.227081447839737,11.3820810317993,4.61191940307617,0,297.432470388973,7.95785079315426,3981.56944444444,1106.02957542607,5435021.37799819,6283262.77802161
"10",342,1,1,29,17.6689655172414,74.3103448275862,0.565964090554255,0.412838702174672,1.80965517241379,1.39950460647916,0,NA,0,1,81.3219985961914,65128.48046875,161.559494018555,-4.08113622665405,3.96686196327209,0.102244831621647,14.2264556884766,0.339759826660156,0,297.335395611626,7.89674710993611,3519.77777777778,1971.72181488843,5420244.47800326,6282039.27802031
"11",347,1,1,24,15.5666666666667,70.1666666666667,0.642398286937902,0.766423357664234,1.8125,1.49647942419027,1,95,1,1,64.9336395263672,59467.46484375,818.863708496094,-2.44004821777344,3.7837700843811,0.201577588915825,11.2760028839111,2.29295349121094,0,297.488701699406,8.22527329842882,3073.63888888889,1441.44887585161,5425995.27799846,6283981.27801911
"12",348,1,0,25,16.68,72.04,0.599520383693046,0.38500901603392,1.6068,1.45498256690102,0,NA,0,0,80.7823104858398,63346.55859375,335.419647216797,-2.98089981079102,4.65093755722046,0.0820575132966042,13.5247325897217,12.5311508178711,0,297.447964693593,7.81743971498156,3893.1875,1818.61061225417,5416417.17800257,6290604.0780238
"13",350,0,1,12,16.8,78,0.595238095238095,0.433791632968164,1.89,1.59263080324245,0,NA,0,0,81.8866195678711,68940.09375,254.565612792969,-3.25620627403259,3.90598106384277,0.123391695320606,13.0858097076416,3.05459594726562,0,297.104336223771,7.8181029032143,3587.99305555556,1485.75084498647,5420948.47799677,6275471.4780244
"14",352,1,1,26,NA,NA,NA,NA,0.42,1.83710407239819,1,0,0,1,57.5623588562012,54285.3515625,417.863433837891,-0.958399474620819,6.40502595901489,0.0650293976068497,20.5097846984863,0.244537353515625,0,297.353099086828,8.06954622293208,3271.30555555556,725.602853073567,5433584.37800361,6283540.27801954
