field_1,id,analitico_,analitic_1,analitic_2,analitic_3,analitic_4,analitic_5,analitic_6,analitic_7,analitic_8,analitic_9,analitic10,analitic11,analitic12,analitic13,analitic14,analitic15,analitic16,analitic17,analitic18,analitic19,analitic20,analitic21,analitic22,analitic23,analitic24,analitic25,analitic26,analitic27,analitic28,analitic29,analitic30,analitic31,analitic32,barnices,co3,color_hume,color_seco,concrecion,consistenc,consiste_1,consiste_2,consiste_3,estructura,estructu_1,estructu_2,formacione,humedad,id.1,limite_tip,limite_for,moteados,perfil_num,perfil_pro,perfil_cob,perfil_mat,perfil_mod,perfil_fec,perfil_veg,perfil_obs,perfil_cap,perfil_ubi,perfil_u_1,perfil_u_2,perfil_u_3,perfil_pai,perfil_p_1,perfil_p_2,perfil_hum,perfil_ero,perfil_e_1,perfil_ped,perfil_p_3,perfil_ser,perfil_s_1,perfil_s_2,perfil_gru,perfil_g_1,perfil_fas,perfil_f_1,perfil_sal,perfil_uso,perfil_rel,perfil_per,perfil_esc,perfil_pen,perfil_ane,perfil_dre,perfil_pos,ph,profundida,profundi_1,raices,textura,tipo
1,3,3135,19.6,NA,15.1,8.3,9.1,7.5,1039,NA,NA,6.3,4.2,17.8,0.23,0.072,10,35.7,42.5,3.7,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,80 - 95,NA,6,,CO3Ca+,10YR 5/3,10YR 6/4,,,friable,no ahesivo,no plástico,bloques subangulares,medios,moderado,,,1928,gradual,suave,"Fe Mn++ finos, precisos",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,9,100,65,,NA,B31
2,3,3137,14.7,NA,13.4,8.7,9.3,7.5,1593,NA,NA,2.4,3.8,12.9,0.02,NA,7.9,36,47.4,3.7,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,180 - 210,NA,NA,,,10YR 4/4,10YR 5/4,,suelto,muy friable,no ahesivo,no plástico,masiva,,,,,1930,,,"Fe Mn comunes, finos, precisos",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,9,NA,130,,NA,C
3,3,3134,25.7,16.8,18.3,6.6,7.5,5.9,2286,6.4,5.1,4.8,0.5,30.2,0.45,0.072,7.5,29.6,37.5,2.7,0,0,0,0,NA,NA,NA,3.2,92,84,NA,40 - 55,NA,6,,,10YR 3/4,10YR 4/4,,,firme,no ahesivo,no plástico,prismas,gruesos,fuerte,,,1927,claro,suave,"++ finos, precisos (10YR 3/2",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,6.5,65,35,2,NA,B2t
4,3,3132,19.5,16.2,18.4,6.4,6.9,5.7,5198,9.5,3.5,2.8,0.4,17.4,1.8,0.18,13.3,40.3,39.3,3,0,0,0,0,NA,NA,NA,4.6,88,78,NA,12 - 25,NA,10,,,10YR 3/1,,,muy duro,friable,no ahesivo,no plástico,bloques subangulares,medios,moderado,,,1925,abrupto,suave,,13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,6.5,25,12,2,NA,A1
5,3,3136,18.8,NA,13.4,8.8,9.5,7.8,1143,NA,NA,6.3,5,15.8,0.05,0.037,7.1,33.8,46.2,4.2,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,110 - 125,NA,NA,,,10YR 5/3,,,,friable,no ahesivo,no plástico,bloques subangulares,medios,débil,,,1929,,,,13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,NA,130,100,,NA,B32
6,3,3133,16.5,14.6,14.1,6.5,7.2,5.8,5891,6.3,4.8,3,0.5,14.6,0.82,0.092,12.7,36.8,45.2,3.4,0,0,0,0,NA,NA,NA,3.1,100,83,NA,25 - 35,NA,9,,,10YR 4/2,10YR 6/2,,ligeramente duro,friable,no ahesivo,no plástico,bloques subangulares,finos,débil,"Krotovinas; Fe depositado entre las raíces",,1926,claro,suave,"Fe Mn+  finos, precisos",13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,7,35,25,2,NA,A2
7,3,3131,21.8,17,20.8,6,6.4,5.5,3751,10.3,3.2,3.2,0.3,17.2,2.8,0.28,13.6,39.3,40.7,2.8,0,0,0,0,NA,NA,NA,6.1,82,74,NA,0 - 12,NA,10,,,10YR 3/1,10YR 4/1,,muy duro,friable,no ahesivo,no plástico,bloques subangulares,medios,moderado,,,1924,abrupto,suave,,13/656 C,NA,100,Loess,true,1967-03-17,Pastos naturales,B2 con tendencia a columnar.,,13 Km. al S.S.W. de los Indios,R 357,3560-8-2,102,Pampa arenosa,,,,ligera,hídrica,,,Agustín Roca,AR,NA,NA,Natralbol Tipico,NA,,,ganadero,cóncavo,lenta,lento,0 - 1%,clase 3,,bajo,NA,12,0,3,NA,Ap
8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,13/1255-C,NA,NA,,true,1969-10-24,,,,8 Km. al SE de la localidad de San Vicente,,3557-19-1,NA,,,,,,,,,Alejandro Korn,,NA,NA,Argiacuol Tipico,NA,,,,,,,,,,,NA,NA,NA,,NA,
9,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,9/1433-C,NA,NA,,true,1969-10-22,,,,7.9 Km. al ENE de  Estacion Loma Verde,,3557-19-3 Loma Verde,NA,,,,,,,,,Los Mochos,,NA,NA,Natracualf Tipico,NA,,,,,,,,,,,NA,NA,NA,,NA,
10,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,NA,,,,1/317-C,NA,NA,,true,1966-10-24,,,,11.5 Km. al SSW. de Estacion Lozano,,3560-17-4 Lozano,NA,,,,,,,,,Navarro,,NA,NA,Argialbol Argiacuico,NA,,,,,,,,,,,NA,NA,NA,,NA,
