Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
SC:MOD13Q1.005:2037208621,MOD13Q1.A2000049.h13v12.005.2006270010850.hdf,2000-02-18T00:00:00.0000000Z,2000-03-04T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.02.18/MOD13Q1.A2000049.h13v12.005.2006270010850.hdf,,4,DAY,"116,361773"
SC:MOD13Q1.005:2037208887,MOD13Q1.A2000049.h12v12.005.2006270011342.hdf,2000-02-18T00:00:00.0000000Z,2000-03-04T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.02.18/MOD13Q1.A2000049.h12v12.005.2006270011342.hdf,,1,DAY,"226,142274"
SC:MOD13Q1.005:2064693500,MOD13Q1.A2000065.h12v12.005.2008238043902.hdf,2000-03-05T00:00:00.0000000Z,2000-03-20T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.03.05/MOD13Q1.A2000065.h12v12.005.2008238043902.hdf,,0,DAY,"237,620763"
SC:MOD13Q1.005:2064700630,MOD13Q1.A2000065.h13v12.005.2008238091405.hdf,2000-03-05T00:00:00.0000000Z,2000-03-20T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.03.05/MOD13Q1.A2000065.h13v12.005.2008238091405.hdf,,1,DAY,"123,874034"
SC:MOD13Q1.005:2063662786,MOD13Q1.A2000081.h13v12.005.2008197084606.hdf,2000-03-21T00:00:00.0000000Z,2000-04-05T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.03.21/MOD13Q1.A2000081.h13v12.005.2008197084606.hdf,,1,DAY,"124,497208"
SC:MOD13Q1.005:2063663725,MOD13Q1.A2000081.h12v12.005.2008197104641.hdf,2000-03-21T00:00:00.0000000Z,2000-04-05T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.03.21/MOD13Q1.A2000081.h12v12.005.2008197104641.hdf,,0,DAY,"250,23821"
SC:MOD13Q1.005:2063736646,MOD13Q1.A2000097.h12v12.005.2008199094713.hdf,2000-04-06T00:00:00.0000000Z,2000-04-21T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.04.06/MOD13Q1.A2000097.h12v12.005.2008199094713.hdf,,1,DAY,"226,785677"
SC:MOD13Q1.005:2063735937,MOD13Q1.A2000097.h13v12.005.2008199091601.hdf,2000-04-06T00:00:00.0000000Z,2000-04-21T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.04.06/MOD13Q1.A2000097.h13v12.005.2008199091601.hdf,,1,DAY,"115,13046"
SC:MOD13Q1.005:2037386052,MOD13Q1.A2000113.h13v12.005.2006276125254.hdf,2000-04-22T00:00:00.0000000Z,2000-05-07T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.04.22/MOD13Q1.A2000113.h13v12.005.2006276125254.hdf,,1,DAY,"119,562632"
SC:MOD13Q1.005:2037386599,MOD13Q1.A2000113.h12v12.005.2006276132446.hdf,2000-04-22T00:00:00.0000000Z,2000-05-07T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.04.22/MOD13Q1.A2000113.h12v12.005.2006276132446.hdf,,1,DAY,"229,33752"
SC:MOD13Q1.005:2037474019,MOD13Q1.A2000129.h13v12.005.2006279203505.hdf,2000-05-08T00:00:00.0000000Z,2000-05-23T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.05.08/MOD13Q1.A2000129.h13v12.005.2006279203505.hdf,,1,DAY,"119,728199"
SC:MOD13Q1.005:2037475111,MOD13Q1.A2000129.h12v12.005.2006279214147.hdf,2000-05-08T00:00:00.0000000Z,2000-05-23T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.05.08/MOD13Q1.A2000129.h12v12.005.2006279214147.hdf,,2,DAY,"221,061439"
SC:MOD13Q1.005:2037567650,MOD13Q1.A2000145.h13v12.005.2006283212957.hdf,2000-05-24T00:00:00.0000000Z,2000-06-08T23:59:59.0000000Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD13Q1.005/2000.05.24/MOD13Q1.A2000145.h13v12.005.2006283212957.hdf,,1,DAY,"122,17443"
