Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
SC:MOD11A2.005:2044142351,MOD11A2.A2000065.h12v12.005.2007176165422.hdf,2000-03-05T00:00:00Z,2000-03-12T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.05/MOD11A2.A2000065.h12v12.005.2007176165422.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000065.h12v12.005.2007176125429.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000065.h12v12.005.2007176125429.2.jpg",2.0,BOTH,8.589995
SC:MOD11A2.005:2044142054,MOD11A2.A2000065.h13v12.005.2007176165418.hdf,2000-03-05T00:00:00Z,2000-03-12T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.05/MOD11A2.A2000065.h13v12.005.2007176165418.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000065.h13v12.005.2007176125424.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000065.h13v12.005.2007176125424.2.jpg",0.0,BOTH,5.265961
SC:MOD11A2.005:2044151779,MOD11A2.A2000073.h12v12.005.2007176174459.hdf,2000-03-13T00:00:00Z,2000-03-20T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.13/MOD11A2.A2000073.h12v12.005.2007176174459.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000073.h12v12.005.2007176134506.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000073.h12v12.005.2007176134506.2.jpg",0.0,BOTH,7.960448
SC:MOD11A2.005:2044151640,MOD11A2.A2000073.h13v12.005.2007176174452.hdf,2000-03-13T00:00:00Z,2000-03-20T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.13/MOD11A2.A2000073.h13v12.005.2007176174452.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000073.h13v12.005.2007176134459.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000073.h13v12.005.2007176134459.2.jpg",0.0,BOTH,4.889888
SC:MOD11A2.005:2044160900,MOD11A2.A2000081.h12v12.005.2007176203030.hdf,2000-03-21T00:00:00Z,2000-03-28T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.21/MOD11A2.A2000081.h12v12.005.2007176203030.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000081.h12v12.005.2007176163038.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000081.h12v12.005.2007176163038.2.jpg",0.0,BOTH,7.738653
SC:MOD11A2.005:2044160702,MOD11A2.A2000081.h13v12.005.2007176203023.hdf,2000-03-21T00:00:00Z,2000-03-28T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.21/MOD11A2.A2000081.h13v12.005.2007176203023.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000081.h13v12.005.2007176163030.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000081.h13v12.005.2007176163030.2.jpg",0.0,BOTH,4.625005
SC:MOD11A2.005:2044162494,MOD11A2.A2000089.h12v12.005.2007176210948.hdf,2000-03-29T00:00:00Z,2000-04-05T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.29/MOD11A2.A2000089.h12v12.005.2007176210948.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000089.h12v12.005.2007176170955.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000089.h12v12.005.2007176170955.2.jpg",0.0,BOTH,7.868941
SC:MOD11A2.005:2044162473,MOD11A2.A2000089.h13v12.005.2007176210936.hdf,2000-03-29T00:00:00Z,2000-04-05T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.03.29/MOD11A2.A2000089.h13v12.005.2007176210936.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000089.h13v12.005.2007176170943.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.26/BROWSE.MOD11A2.A2000089.h13v12.005.2007176170943.2.jpg",0.0,BOTH,4.505146
SC:MOD11A2.005:2044224999,MOD11A2.A2000097.h12v12.005.2007178091204.hdf,2000-04-06T00:00:00Z,2000-04-13T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.04.06/MOD11A2.A2000097.h12v12.005.2007178091204.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.27/BROWSE.MOD11A2.A2000097.h12v12.005.2007178051211.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.27/BROWSE.MOD11A2.A2000097.h12v12.005.2007178051211.2.jpg",0.0,BOTH,7.635192
SC:MOD11A2.005:2044224988,MOD11A2.A2000097.h13v12.005.2007178091153.hdf,2000-04-06T00:00:00Z,2000-04-13T23:59:59Z,http://e4ftl01.cr.usgs.gov//MODIS_Composites/MOLT/MOD11A2.005/2000.04.06/MOD11A2.A2000097.h13v12.005.2007178091153.hdf,"http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.27/BROWSE.MOD11A2.A2000097.h13v12.005.2007178051200.1.jpg,http://e4ftl01.cr.usgs.gov//WORKING/BRWS/Browse.001/2007.06.27/BROWSE.MOD11A2.A2000097.h13v12.005.2007178051200.2.jpg",1.0,BOTH,4.762471
